dt_notificacao,acumulado_mortes
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,2
2020-04-04,2
2020-04-05,3
2020-04-06,5
2020-04-07,5
2020-04-08,7
2020-04-09,7
2020-04-10,8
2020-04-11,10
2020-04-12,14
2020-04-13,15
2020-04-14,15
2020-04-15,15
2020-04-16,16
2020-04-17,16
2020-04-18,18
2020-04-19,18
2020-04-20,19
2020-04-21,19
2020-04-22,21
2020-04-23,23
2020-04-24,24
2020-04-25,25
2020-04-26,25
2020-04-27,26
2020-04-28,27
2020-04-29,27
2020-04-30,29
2020-05-01,29
2020-05-02,30
2020-05-03,30
2020-05-04,30
2020-05-05,38
2020-05-06,45
2020-05-07,44
2020-05-08,49
2020-05-09,47
2020-05-10,47
2020-05-11,49
2020-05-12,52
2020-05-13,61
2020-05-14,67
2020-05-15,67
2020-05-16,69
2020-05-17,70
2020-05-18,73
