"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2020.3337",3680.23589769962,3594.55638158569,3765.91541381356,3549.20038550409,3811.27140989516
"2020.3364",4001.47179539925,3852.49860806349,4150.44498273501,3773.63696636047,4229.30662443803
"2020.3391",4322.70769309888,4105.50861954108,4539.90676665667,3990.53037531156,4654.88501088619
"2020.3419",4643.9435907985,4352.55449547463,4935.33268612237,4198.30242607503,5089.58475552198
"2020.3446",4965.17948849813,4593.68405532719,5336.67492166906,4397.02625220855,5533.3327247877
"2020.3474",5286.41538619775,4829.14245030723,5743.68832208828,4587.07678013123,5985.75399226427
"2020.3501",5607.65128389738,5059.20256949384,6156.09999830092,4768.87135767456,6446.43121012019
"2020.3528",5928.887181597,5284.12322127532,6573.65114191869,4942.80579811175,6914.96856508226
"2020.3556",6250.12307929663,5504.13943412848,6996.10672446478,5109.23954647979,7391.00661211347
"2020.3583",6571.35897699625,5719.46201158269,7423.25594240982,5268.49499895569,7874.22295503682
"2020.3611",6892.59487469588,5930.27973329929,7854.91001609247,5420.86086911697,8364.32888027479
"2020.3638",7213.83077239551,6136.76210315327,8290.89944163774,5566.59639076985,8861.06515402117
"2020.3665",7535.06667009513,6339.06196912146,8731.0713710688,5705.93532472251,9364.19801546775
"2020.3693",7856.30256779476,6537.31782368709,9175.28731190242,5839.08947695028,9873.51565863924
