,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,08/03,1.0,,,,
2,09/03,1.0,,,,
3,10/03,1.0,,,,
4,12/03,1.0,,,,
5,13/03,1.0,,,,
6,16/03,1.0,,,,
7,17/03,1.0,,,,
8,18/03,1.0,,,,
9,19/03,4.0,,,,
10,20/03,6.0,,,,
11,21/03,7.0,,,,
12,22/03,7.0,,,,
13,23/03,8.0,,,,
14,24/03,10.0,,,,
15,25/03,11.0,,,,
16,26/03,11.0,,,,
17,27/03,12.0,,,,
18,28/03,14.0,,,,
19,29/03,17.0,,,,
20,30/03,17.0,,,,
21,31/03,18.0,,,,
22,01/04,18.0,,,,
23,02/04,18.0,,,,
24,03/04,23.0,,,,
25,04/04,23.0,,,,
26,05/04,28.0,,,,
27,06/04,31.0,,,,
28,07/04,34.0,,,,
29,08/04,37.0,,,,
30,09/04,37.0,,,,
31,10/04,45.0,,,,
32,11/04,48.0,,,,
33,12/04,48.0,,,,
34,13/04,58.0,,,,
35,14/04,72.0,,,,
36,15/04,83.0,,,,
37,16/04,89.0,,,,
38,17/04,110.0,,,,
39,18/04,132.0,,,,
40,19/04,159.0,,,,
41,20/04,171.0,,,,
42,21/04,210.0,,,,
43,22/04,243.0,,,,
44,23/04,324.0,,,,
45,24/04,413.0,,,,
46,25/04,501.0,,,,
47,26/04,560.0,,,,
48,27/04,643.0,,,,
0,28/04,1158.53049035456,1134.1349847069698,1182.92599600215,1121.22078410517,1195.84019660395
1,29/04,1272.0609807091198,1225.82433176898,1318.29762964926,1201.3481283160302,1342.77383310222
2,30/04,1385.59147106368,1314.38064309394,1456.8022990334198,1276.6839078548198,1494.49903427255
3,01/05,1499.12196141824,1399.93766511854,1598.30625771795,1347.43267024504,1650.8112525914498
4,02/05,1612.65245177281,1482.7279485638,1742.57695498181,1413.95007112322,1811.3548324223898
5,03/05,1726.18294212737,1562.95776417692,1889.4081200778198,1476.55157437427,1975.8143098804603
6,04/05,1839.7134324819299,1640.79965173029,2038.62721323357,1535.5010568088198,2143.92580815503
7,05/05,1953.24392283649,1716.39798579328,2190.0898598797,1591.0193202766598,2315.46852539632
8,06/05,2066.77441319105,1789.8749786092103,2343.6738477728895,1643.29327227474,2490.2555541073602
9,07/05,2180.30490354561,1861.3354534435398,2499.27435364768,1692.4832261533802,2668.12658093784
10,08/05,2293.83539390017,1930.87043888964,2656.80034891071,1738.7283981324802,2848.94238966787
11,09/05,2407.36588425473,1998.5598626922,2816.1719058172603,1782.1510271489499,3032.58074136052
12,10/05,2520.89637460929,2064.47459030198,2977.31815891661,1822.8594925571103,3218.9332566614803
13,11/05,2634.42686496386,2128.67798920518,3140.17574072253,1860.9507065641,3407.9030233636104
