,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,13/03,2.0,,,,
2,18/03,2.0,,,,
3,19/03,3.0,,,,
4,20/03,7.0,,,,
5,21/03,11.0,,,,
6,22/03,26.0,,,,
7,23/03,32.0,,,,
8,24/03,47.0,,,,
9,25/03,54.0,,,,
10,26/03,67.0,,,,
11,27/03,81.0,,,,
12,28/03,111.0,,,,
13,29/03,140.0,,,,
14,30/03,151.0,,,,
15,31/03,175.0,,,,
16,01/04,200.0,,,,
17,02/04,229.0,,,,
18,03/04,260.0,,,,
19,04/04,311.0,,,,
20,05/04,417.0,,,,
21,06/04,532.0,,,,
22,07/04,636.0,,,,
23,08/04,804.0,,,,
24,09/04,899.0,,,,
25,10/04,981.0,,,,
26,11/04,1049.0,,,,
27,12/04,1206.0,,,,
28,13/04,1275.0,,,,
29,14/04,1484.0,,,,
30,15/04,1554.0,,,,
31,16/04,1719.0,,,,
32,17/04,1809.0,,,,
33,18/04,1897.0,,,,
34,19/04,2044.0,,,,
35,20/04,2160.0,,,,
36,21/04,2270.0,,,,
37,22/04,2479.0,,,,
38,23/04,2888.0,,,,
39,24/04,3194.0,,,,
40,25/04,3635.0,,,,
41,26/04,3833.0,,,,
0,27/04,5670.643928764661,5564.44859656234,5776.83926096699,5508.2321834718605,5833.055674057471
1,28/04,6087.28785752933,5896.140156506241,6278.435558552421,5794.95267585938,6379.623039199279
2,29/04,6503.931786293989,6218.725360910239,6789.13821167775,6067.74619927547,6940.11737331251
3,30/04,6920.57571505866,6531.659332003771,7309.49209811354,6325.77943508124,7515.371995036071
4,01/05,7337.21964382332,6835.383109285451,7839.0561783612,6569.72689498286,8104.7123926637905
5,02/05,7753.86357258799,7130.43972940321,8377.287415772758,6800.41908186516,8707.30806331081
6,03/05,8170.50750135265,7417.33367309187,8923.68132961344,7018.62753243234,9322.387470272959
7,04/05,8587.151430117321,7696.509409224641,9477.79345100999,7225.03200316643,9949.270857068199
8,05/05,9003.79535888198,7968.3547813183595,10039.2359364456,7420.225649540141,10587.3650682238
9,06/05,9420.43928764664,8233.20911769682,10607.6694575965,7604.72742944125,11236.151145852
10,07/05,9837.083216411309,8491.37121538477,11182.7952174378,7778.994313484871,11895.1721193377
11,08/05,10253.727145175999,8743.10613066764,11764.3481596843,7943.43167027832,12564.022620073602
12,09/05,10670.371073940601,8988.650712005649,12352.0914358756,8098.40172828302,13242.3404195983
13,10/05,11087.0150027053,9228.218056148171,12945.8119492624,8244.23039085332,13929.7996145573
