,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,13/03,2.0,,,,
2,14/03,2.0,,,,
3,15/03,2.0,,,,
4,16/03,2.0,,,,
5,17/03,2.0,,,,
6,18/03,2.0,,,,
7,19/03,3.0,,,,
8,20/03,7.0,,,,
9,21/03,11.0,,,,
10,22/03,26.0,,,,
11,23/03,32.0,,,,
12,24/03,47.0,,,,
13,25/03,54.0,,,,
14,26/03,67.0,,,,
15,27/03,81.0,,,,
16,28/03,111.0,,,,
17,29/03,140.0,,,,
18,30/03,151.0,,,,
19,31/03,175.0,,,,
20,01/04,200.0,,,,
21,02/04,229.0,,,,
22,03/04,260.0,,,,
23,04/04,311.0,,,,
24,05/04,417.0,,,,
25,06/04,532.0,,,,
26,07/04,636.0,,,,
27,08/04,804.0,,,,
28,09/04,899.0,,,,
29,10/04,981.0,,,,
30,11/04,1049.0,,,,
31,12/04,1206.0,,,,
32,13/04,1275.0,,,,
33,14/04,1484.0,,,,
34,15/04,1554.0,,,,
35,16/04,1719.0,,,,
36,17/04,1809.0,,,,
37,18/04,1897.0,,,,
38,19/04,2044.0,,,,
39,20/04,2160.0,,,,
40,21/04,2270.0,,,,
41,22/04,2479.0,,,,
42,23/04,2888.0,,,,
43,24/04,3194.0,,,,
44,25/04,3635.0,,,,
45,26/04,3833.0,,,,
46,27/04,3928.0,,,,
47,28/04,4337.0,,,,
48,29/04,4801.0,,,,
49,30/04,5254.0,,,,
50,01/05,5723.0,,,,
51,02/05,6062.0,,,,
52,03/05,6683.0,,,,
53,04/05,7313.0,,,,
54,05/05,8109.0,,,,
55,06/05,9243.0,,,,
56,07/05,10099.0,,,,
57,08/05,10727.0,,,,
58,09/05,11925.0,,,,
59,10/05,12599.0,,,,
60,11/05,12919.0,,,,
61,12/05,14168.0,,,,
62,13/05,15816.0,,,,
63,14/05,17181.0,,,,
64,15/05,18392.0,,,,
65,16/05,19677.0,,,,
66,17/05,20328.0,,,,
67,18/05,20913.0,,,,
68,19/05,22132.0,,,,
69,20/05,23704.0,,,,
70,21/05,25367.0,,,,
71,22/05,27038.0,,,,
72,23/05,28802.0,,,,
73,24/05,29867.0,,,,
74,25/05,30282.0,,,,
75,26/05,31949.0,,,,
76,27/05,33508.0,,,,
77,28/05,36146.0,,,,
78,29/05,38909.0,,,,
79,30/05,40560.0,,,,
80,31/05,41378.0,,,,
81,01/06,41774.0,,,,
82,02/06,43195.0,,,,
83,03/06,44347.0,,,,
84,04/06,46473.0,,,,
85,05/06,47666.0,,,,
86,06/06,48785.0,,,,
87,07/06,49269.0,,,,
88,08/06,49817.0,,,,
89,09/06,51234.0,,,,
90,10/06,52849.0,,,,
91,11/06,53989.0,,,,
92,12/06,55111.0,,,,
93,13/06,56026.0,,,,
94,14/06,56506.0,,,,
95,15/06,56777.0,,,,
0,16/06,57804.9881091675,57422.1775825558,58187.798635779196,57219.529930789,58390.4462875459
1,17/06,58992.615686387195,58307.3480991352,59677.883273639294,57944.5893510475,60040.642021727
2,18/06,60105.74591355099,59131.195641535094,61080.296185567,58615.2998904421,61596.1919366599
3,19/06,61101.797832929406,59856.043172815305,62347.5524930435,59196.5804908875,63007.0151749713
4,20/06,61872.1476619838,60380.1636219808,63364.1317019868,59590.3549799455,64153.940344022194
5,21/06,62359.0207325875,60652.2336155907,64065.8078495844,59748.71509329059,64969.3263718844
6,22/06,62977.171030934005,61009.3599521934,64944.9821096746,59967.663691234,65986.678370634
