,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,1.0,,,,
3,22/03,1.0,,,,
4,23/03,1.0,,,,
5,24/03,1.0,,,,
6,25/03,2.0,,,,
7,26/03,2.0,,,,
8,27/03,3.0,,,,
9,28/03,4.0,,,,
10,29/03,8.0,,,,
11,30/03,8.0,,,,
12,31/03,10.0,,,,
13,01/04,11.0,,,,
14,02/04,12.0,,,,
15,03/04,19.0,,,,
16,04/04,29.0,,,,
17,05/04,32.0,,,,
18,06/04,39.0,,,,
19,07/04,51.0,,,,
20,08/04,107.0,,,,
21,09/04,110.0,,,,
22,10/04,166.0,,,,
23,11/04,193.0,,,,
24,12/04,237.0,,,,
25,13/04,244.0,,,,
26,14/04,308.0,,,,
27,15/04,342.0,,,,
28,16/04,362.0,,,,
29,17/04,375.0,,,,
30,18/04,400.0,,,,
31,19/04,416.0,,,,
32,20/04,435.0,,,,
33,21/04,466.0,,,,
34,22/04,492.0,,,,
35,23/04,555.0,,,,
36,24/04,648.0,,,,
37,25/04,689.0,,,,
38,26/04,821.0,,,,
39,27/04,842.0,,,,
40,28/04,918.0,,,,
41,29/04,1016.0,,,,
42,30/04,1080.0,,,,
0,01/05,1169.38397166861,1141.31464736073,1197.45329597649,1126.4556446368,1212.31229870041
1,02/05,1246.56385180577,1206.76847431777,1286.3592292937699,1185.7020740009,1307.42562961064
2,03/05,1326.14162547451,1265.79682433001,1386.486426619,1233.85221623238,1418.43103471664
3,04/05,1408.01877696794,1325.48145537179,1490.5560985640802,1281.78883659085,1534.24871734502
4,05/05,1486.68746967525,1380.44121195165,1592.9337273988501,1324.19784051863,1649.17709883187
5,06/05,1567.66582376923,1434.52996284236,1700.80168469611,1364.0520953146001,1771.2795522238603
6,07/05,1647.57782613306,1486.3294768799499,1808.82617538617,1400.9697569772,1894.18589528893
7,08/05,1727.66414480853,1536.19933176405,1919.1289578530102,1434.84398215327,2020.48430746379
8,09/05,1807.9864026521302,1584.6506339734199,2031.32217133083,1466.42381957822,2149.5489857260395
9,10/05,1888.0069790444898,1631.2569399289498,2144.7570181600304,1495.34167924295,2280.67227884603
10,11/05,1968.2371489682898,1676.46653800785,2260.0077599287197,1522.01250642986,2414.46179150672
11,12/05,2048.37459203845,1720.1661912210097,2376.58299285588,1546.4231588533999,2550.32602522349
12,13/05,2128.5238331329397,1762.44928353303,2494.59838273284,1568.66112283487,2688.38654343101
13,14/05,2208.6969340305604,1803.40103642008,2613.9928316410396,1588.85034825482,2828.5435198062896
