,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,16/03,9.0,,,,
2,17/03,10.0,,,,
3,18/03,19.0,,,,
4,19/03,24.0,,,,
5,20/03,68.0,,,,
6,21/03,84.0,,,,
7,22/03,125.0,,,,
8,23/03,164.0,,,,
9,24/03,185.0,,,,
10,25/03,211.0,,,,
11,26/03,237.0,,,,
12,27/03,282.0,,,,
13,28/03,322.0,,,,
14,29/03,359.0,,,,
15,30/03,382.0,,,,
16,31/03,401.0,,,,
17,01/04,445.0,,,,
18,02/04,563.0,,,,
19,03/04,658.0,,,,
20,04/04,745.0,,,,
21,05/04,960.0,,,,
22,06/04,1045.0,,,,
23,07/04,1188.0,,,,
24,08/04,1394.0,,,,
25,09/04,1445.0,,,,
26,10/04,1558.0,,,,
27,11/04,1668.0,,,,
28,12/04,1747.0,,,,
29,13/04,1935.0,,,,
30,14/04,2070.0,,,,
31,15/04,2291.0,,,,
32,16/04,2412.0,,,,
33,17/04,2747.0,,,,
34,18/04,3062.0,,,,
35,19/04,3306.0,,,,
36,20/04,3485.0,,,,
37,21/04,3682.0,,,,
38,22/04,4116.0,,,,
39,23/04,4702.0,,,,
40,24/04,5121.0,,,,
41,25/04,5667.0,,,,
42,26/04,6260.0,,,,
43,27/04,6783.0,,,,
44,28/04,6985.0,,,,
45,29/04,7409.0,,,,
0,30/04,7803.101763076279,7681.68687350838,7924.51665264418,7617.41371341995,7988.78981273261
1,01/05,8197.20352615256,7976.517493821759,8417.88955848335,7859.693365119279,8534.71368718583
2,02/05,8591.305289228829,8259.96346353952,8922.647114918149,8084.56169624136,9098.04888221631
3,03/05,8985.40705230511,8531.64282471089,9439.171279899341,8291.43455251,9679.37955210022
4,04/05,9379.50881538139,8792.18336188491,9966.83426887787,8481.27204754008,10277.7455832227
5,05/05,9773.61057845767,9042.28287846754,10504.9382784478,8655.14137954717,10892.079777368199
6,06/05,10167.712341533901,9282.57157269095,11052.8531103769,8814.0063535559,11521.418329512
7,07/05,10561.814104610201,9513.5973936721,11610.030815548402,8958.70498542413,12164.923223796299
8,08/05,10955.9158676865,9735.834870736491,12175.9968646365,9089.96300512842,12821.8687302446
9,09/05,11350.0176307628,9949.69715464544,12750.3381068801,9208.412272231899,13491.6229892937
10,10/05,11744.119393839099,10155.5468206418,13332.691967036299,9314.60729771702,14173.6314899611
11,11/05,12138.2211569153,10353.7047099075,13922.7376039232,9409.03876582798,14867.4035480027
12,12/05,12532.322919991599,10544.4569836433,14520.18885634,9492.14432235473,15572.501517628501
13,13/05,12926.4246830679,10728.0607297717,15124.7886363641,9564.317149345201,16288.5322167906
