,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,07/03,1.0,,,,
2,08/03,1.0,,,,
3,09/03,1.0,,,,
4,10/03,1.0,,,,
5,11/03,2.0,,,,
6,12/03,2.0,,,,
7,13/03,2.0,,,,
8,14/03,8.0,,,,
9,15/03,14.0,,,,
10,16/03,19.0,,,,
11,18/03,34.0,,,,
12,19/03,42.0,,,,
13,20/03,87.0,,,,
14,21/03,108.0,,,,
15,22/03,117.0,,,,
16,23/03,138.0,,,,
17,24/03,161.0,,,,
18,25/03,195.0,,,,
19,26/03,201.0,,,,
20,27/03,241.0,,,,
21,28/03,260.0,,,,
22,29/03,298.0,,,,
23,30/03,312.0,,,,
24,31/03,333.0,,,,
25,01/04,370.0,,,,
26,02/04,400.0,,,,
27,03/04,419.0,,,,
28,04/04,456.0,,,,
29,05/04,468.0,,,,
30,06/04,485.0,,,,
31,07/04,503.0,,,,
32,08/04,509.0,,,,
33,09/04,527.0,,,,
34,10/04,556.0,,,,
35,11/04,592.0,,,,
36,12/04,618.0,,,,
37,13/04,641.0,,,,
38,14/04,651.0,,,,
39,15/04,688.0,,,,
40,16/04,727.0,,,,
41,17/04,756.0,,,,
42,18/04,796.0,,,,
43,19/04,860.0,,,,
44,20/04,875.0,,,,
45,21/04,913.0,,,,
46,22/04,959.0,,,,
47,23/04,968.0,,,,
48,24/04,1012.0,,,,
49,25/04,1020.0,,,,
50,26/04,1125.0,,,,
51,27/04,1189.0,,,,
52,28/04,1230.0,,,,
53,29/04,1313.0,,,,
0,30/04,1496.25922096064,1471.93924151871,1520.5792004025598,1459.06502207511,1533.45341984616
1,01/05,1584.0531975143099,1547.72641828224,1620.37997674637,1528.4961829677,1639.61021206091
2,02/05,1671.84717406798,1619.87599431354,1723.81835382241,1592.36411361893,1751.33023451702
3,03/05,1759.64115062165,1689.33527084302,1829.9470304002698,1652.11758623901,1867.1647150042897
4,04/05,1847.4351271753198,1756.5906230332098,1938.2796313174201,1708.5004474488298,1986.3698069018103
5,05/05,1935.22910372899,1821.9252002061398,2048.53300725184,1761.9457367673,2108.51247069067
6,06/05,2023.0230802826602,1885.52610570565,2160.52005485967,1812.7396040655801,2233.30655649974
7,07/05,2110.81705683633,1947.52895638168,2274.10515729097,1861.0894574173699,2360.5446562552897
8,08/05,2198.61103339,2008.03852442138,2389.18354235862,1907.15553205541,2490.06653472458
9,09/05,2286.40500994367,2067.1394182160398,2505.6706016713,1951.0672253478601,2621.7427945394697
10,10/05,2374.19898649734,2124.9021578018696,2623.49581519281,1992.9323883831,2755.46558461158
11,11/05,2461.99296305101,2181.38690851055,2742.5990175914603,2032.8430360955103,2891.14289000651
12,12/05,2549.7869396046804,2236.64592299809,2862.92795621127,2070.8790820263002,3028.6947971830605
13,13/05,2637.5809161583497,2290.72522061353,2984.4366117031605,2107.1109066964,3168.0509256203004
