,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,3.0,,,,
2,13/03,3.0,,,,
3,14/03,4.0,,,,
4,15/03,4.0,,,,
5,16/03,9.0,,,,
6,17/03,10.0,,,,
7,18/03,12.0,,,,
8,19/03,15.0,,,,
9,20/03,18.0,,,,
10,21/03,19.0,,,,
11,22/03,21.0,,,,
12,23/03,23.0,,,,
13,24/03,29.0,,,,
14,25/03,35.0,,,,
15,26/03,38.0,,,,
16,27/03,49.0,,,,
17,28/03,56.0,,,,
18,29/03,56.0,,,,
19,30/03,60.0,,,,
20,31/03,65.0,,,,
21,01/04,73.0,,,,
22,02/04,73.0,,,,
23,03/04,88.0,,,,
24,04/04,103.0,,,,
25,05/04,115.0,,,,
26,06/04,119.0,,,,
27,07/04,133.0,,,,
28,08/04,159.0,,,,
29,09/04,179.0,,,,
30,10/04,191.0,,,,
31,11/04,209.0,,,,
32,12/04,229.0,,,,
33,13/04,233.0,,,,
34,14/04,284.0,,,,
35,15/04,304.0,,,,
36,16/04,318.0,,,,
37,17/04,335.0,,,,
38,18/04,378.0,,,,
39,19/04,393.0,,,,
40,20/04,403.0,,,,
41,21/04,421.0,,,,
42,22/04,438.0,,,,
43,23/04,453.0,,,,
44,24/04,486.0,,,,
45,25/04,506.0,,,,
46,26/04,573.0,,,,
47,27/04,616.0,,,,
48,28/04,661.0,,,,
49,29/04,705.0,,,,
50,30/04,781.0,,,,
0,01/05,830.901663361915,815.6663116744411,846.137015049389,807.6012036675281,854.2021230563021
1,02/05,890.396747684277,867.8013150943981,912.9921802741569,855.84001560893,924.9534797596249
2,03/05,949.89183200664,917.0570622652909,982.726601747988,899.675385112159,1000.10827890112
3,04/05,1009.386916329,964.2570803117841,1054.5167523462198,940.366788227986,1078.40704443002
4,05/05,1068.88200065136,1009.8212342610301,1127.9427670416999,978.556353103033,1159.2076481997
5,06/05,1128.37708497373,1053.98341081553,1202.77075913192,1014.60177858119,1242.15239136626
6,07/05,1187.87216929609,1096.8924102772,1278.8519283149801,1048.73063508605,1327.01370350613
7,08/05,1247.36725361845,1138.65318790696,1356.08131932994,1081.10343783755,1413.63106939936
8,09/05,1306.86233794081,1179.3453040995098,1434.37937178212,1111.84186395924,1501.8828119223901
9,10/05,1366.35742226318,1219.0321541405801,1513.68269038577,1141.04286817399,1591.67197635237
10,11/05,1425.8525065855401,1257.76606818429,1593.9389449867901,1168.78648254611,1682.91853062497
11,12/05,1485.3475909079,1295.5913711718301,1675.10381064398,1195.1404962233198,1775.5546855924802
12,13/05,1544.84267523026,1332.5463454045098,1757.1390050560199,1220.1634569331,1869.52189352742
13,14/05,1604.33775955263,1368.6645588507401,1840.01096025451,1243.90670245296,1964.7688166522898
