,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,2.0,,,,
3,22/03,2.0,,,,
4,23/03,8.0,,,,
5,24/03,8.0,,,,
6,25/03,8.0,,,,
7,26/03,10.0,,,,
8,27/03,13.0,,,,
9,28/03,15.0,,,,
10,29/03,21.0,,,,
11,30/03,30.0,,,,
12,31/03,51.0,,,,
13,01/04,70.0,,,,
14,02/04,80.0,,,,
15,03/04,87.0,,,,
16,04/04,95.0,,,,
17,05/04,132.0,,,,
18,06/04,171.0,,,,
19,07/04,229.0,,,,
20,08/04,272.0,,,,
21,09/04,293.0,,,,
22,10/04,344.0,,,,
23,11/04,398.0,,,,
24,12/04,445.0,,,,
25,13/04,478.0,,,,
26,14/04,630.0,,,,
27,15/04,695.0,,,,
28,16/04,797.0,,,,
29,17/04,1040.0,,,,
30,18/04,1205.0,,,,
31,19/04,1320.0,,,,
32,20/04,1396.0,,,,
33,21/04,1604.0,,,,
34,22/04,1757.0,,,,
35,23/04,1951.0,,,,
36,24/04,2105.0,,,,
37,25/04,2223.0,,,,
38,26/04,2410.0,,,,
39,27/04,2528.0,,,,
40,28/04,2804.0,,,,
41,29/04,3190.0,,,,
42,30/04,3506.0,,,,
0,01/05,3821.09414150586,3751.49612633675,3890.69215667497,3714.65316262183,3927.53512038989
1,02/05,4136.18828301171,4006.4815340219398,4265.895032001479,3937.8189287019704,4334.55763732146
2,03/05,4451.28242451757,4253.50297894704,4649.0618700881,4148.8048647981395,4753.75998423699
3,04/05,4766.37656602342,4492.6991522281105,5040.053979818739,4347.8230806684005,5184.93005137845
4,05/05,5081.47070752928,4724.61144680573,5438.3299682528295,4535.70156536409,5627.239849694471
5,06/05,5396.56484903514,4949.75262611178,5843.3770719585,4713.22452288141,6079.90517518886
6,07/05,5711.65899054099,5168.56226193134,6254.755719150649,4881.06422025245,6542.25376082954
7,08/05,6026.753132046851,5381.4128712396705,6672.09339285403,5039.79037302727,7013.715891066421
8,09/05,6341.8472735527,5588.6222159727195,7095.072331132679,5189.88895614976,7493.80559095565
9,10/05,6656.94141505856,5790.46423699459,7523.418593122529,5331.77892601771,7982.103904099409
10,11/05,6972.03555656442,5987.17768434485,7956.893428783979,5465.82541930723,8478.2456938216
11,12/05,7287.12969807027,6178.97275498688,8395.28664115366,5592.349904532691,8981.90949160785
12,13/05,7602.223839576129,6366.03619838444,8838.41148076782,5711.637990352329,9492.809688799929
13,14/05,7917.31798108198,6548.535278202371,9286.1006839616,5823.94548446661,10010.6904776974
