,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,14/03,2.0,,,,
2,15/03,2.0,,,,
3,16/03,4.0,,,,
4,17/03,6.0,,,,
5,18/03,7.0,,,,
6,19/03,9.0,,,,
7,20/03,12.0,,,,
8,21/03,16.0,,,,
9,22/03,21.0,,,,
10,23/03,21.0,,,,
11,24/03,24.0,,,,
12,25/03,24.0,,,,
13,26/03,25.0,,,,
14,27/03,28.0,,,,
15,28/03,31.0,,,,
16,29/03,36.0,,,,
17,30/03,44.0,,,,
18,31/03,48.0,,,,
19,01/04,51.0,,,,
20,02/04,53.0,,,,
21,03/04,60.0,,,,
22,04/04,62.0,,,,
23,05/04,65.0,,,,
24,06/04,66.0,,,,
25,07/04,80.0,,,,
26,08/04,85.0,,,,
27,09/04,89.0,,,,
28,10/04,97.0,,,,
29,11/04,100.0,,,,
30,12/04,101.0,,,,
31,13/04,113.0,,,,
32,14/04,115.0,,,,
33,15/04,121.0,,,,
34,16/04,131.0,,,,
35,17/04,143.0,,,,
36,18/04,161.0,,,,
37,19/04,168.0,,,,
38,20/04,171.0,,,,
39,21/04,173.0,,,,
40,22/04,175.0,,,,
41,23/04,186.0,,,,
42,24/04,213.0,,,,
43,25/04,217.0,,,,
44,26/04,234.0,,,,
45,27/04,238.0,,,,
46,28/04,240.0,,,,
47,29/04,249.0,,,,
48,30/04,255.0,,,,
0,01/05,262.881312572878,256.21107637296,269.551548772795,252.680066620938,273.082558524817
1,02/05,270.762625145755,260.67905698478404,280.846193306726,255.34113843971,286.1841118518
2,03/05,278.643937718633,265.48529247602994,291.80258296123503,258.519526454791,298.768348982475
3,04/05,286.52525029151,270.385302918865,302.665197664156,261.841330882217,311.209169700804
4,05/05,294.40656286438804,275.293392705879,313.519733022897,265.17549160027903,323.637634128496
5,06/05,302.28787543726503,280.17030055872897,324.405450315802,268.46196366532797,336.11378720920203
6,07/05,310.169188010143,284.995580935902,335.342795084384,271.669478319953,348.66889770033305
7,08/05,318.05050058302004,289.75784333227995,346.343157833761,274.780615289858,361.320385876183
8,09/05,325.931813155898,294.450547949678,357.413078362118,277.78537281682003,374.07825349497597
9,10/05,333.813125728776,299.069948497906,368.556302959645,280.678021444416,386.948230013135
10,11/05,341.694438301653,303.613991526706,379.7748850766,283.45542069148496,399.933455911821
11,12/05,349.575750874531,308.081687403064,391.06981434599703,286.11605704494,413.035444704122
12,13/05,357.45706344740796,312.472732270685,402.441394624131,288.659465796679,426.25466109813794
13,14/05,365.33837602028603,316.78727173164503,413.889480308927,291.085869625862,439.59088241471
