,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,18/03,1.0,,,,
2,19/03,1.0,,,,
3,20/03,2.0,,,,
4,21/03,2.0,,,,
5,22/03,4.0,,,,
6,23/03,5.0,,,,
7,24/03,5.0,,,,
8,25/03,7.0,,,,
9,26/03,13.0,,,,
10,27/03,16.0,,,,
11,28/03,18.0,,,,
12,29/03,20.0,,,,
13,30/03,26.0,,,,
14,31/03,34.0,,,,
15,01/04,41.0,,,,
16,02/04,49.0,,,,
17,03/04,75.0,,,,
18,04/04,82.0,,,,
19,05/04,86.0,,,,
20,06/04,123.0,,,,
21,07/04,154.0,,,,
22,08/04,165.0,,,,
23,09/04,169.0,,,,
24,10/04,217.0,,,,
25,11/04,237.0,,,,
26,12/04,259.0,,,,
27,13/04,310.0,,,,
28,14/04,384.0,,,,
29,15/04,487.0,,,,
30,16/04,557.0,,,,
31,17/04,627.0,,,,
32,18/04,641.0,,,,
33,19/04,685.0,,,,
34,20/04,902.0,,,,
35,21/04,1026.0,,,,
36,22/04,1195.0,,,,
37,23/04,1267.0,,,,
38,24/04,1579.0,,,,
39,25/04,1745.0,,,,
40,26/04,2070.0,,,,
41,27/04,2219.0,,,,
42,28/04,2319.0,,,,
43,29/04,2586.0,,,,
44,30/04,2999.0,,,,
45,01/05,3359.0,,,,
0,02/05,3680.23589769962,3594.55638158569,3765.91541381356,3549.20038550409,3811.27140989516
1,03/05,4001.47179539925,3852.49860806349,4150.44498273501,3773.6369663604705,4229.30662443803
2,04/05,4322.70769309888,4105.5086195410795,4539.906766656671,3990.53037531156,4654.88501088619
3,05/05,4643.9435907985,4352.554495474629,4935.33268612237,4198.30242607503,5089.58475552198
4,06/05,4965.17948849813,4593.6840553271895,5336.6749216690605,4397.0262522085495,5533.3327247877005
5,07/05,5286.41538619775,4829.142450307229,5743.68832208828,4587.0767801312295,5985.75399226427
6,08/05,5607.6512838973795,5059.202569493839,6156.099998300921,4768.87135767456,6446.43121012019
7,09/05,5928.887181597,5284.12322127532,6573.65114191869,4942.80579811175,6914.968565082261
8,10/05,6250.12307929663,5504.13943412848,6996.10672446478,5109.23954647979,7391.0066121134705
9,11/05,6571.35897699625,5719.46201158269,7423.255942409821,5268.49499895569,7874.22295503682
10,12/05,6892.59487469588,5930.27973329929,7854.910016092471,5420.86086911697,8364.32888027479
11,13/05,7213.8307723955095,6136.76210315327,8290.89944163774,5566.59639076985,8861.065154021171
12,14/05,7535.06667009513,6339.06196912146,8731.0713710688,5705.93532472251,9364.19801546775
13,15/05,7856.30256779476,6537.31782368709,9175.28731190242,5839.089476950279,9873.51565863924
