,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,0.0,,,,
2,13/03,0.0,,,,
3,14/03,0.0,,,,
4,15/03,0.0,,,,
5,16/03,0.0,,,,
6,17/03,0.0,,,,
7,18/03,1.0,,,,
8,19/03,1.0,,,,
9,20/03,1.0,,,,
10,21/03,1.0,,,,
11,22/03,1.0,,,,
12,23/03,2.0,,,,
13,24/03,3.0,,,,
14,25/03,5.0,,,,
15,26/03,6.0,,,,
16,27/03,10.0,,,,
17,28/03,14.0,,,,
18,29/03,14.0,,,,
19,30/03,17.0,,,,
20,31/03,18.0,,,,
21,01/04,21.0,,,,
22,02/04,29.0,,,,
23,03/04,32.0,,,,
24,04/04,34.0,,,,
25,05/04,35.0,,,,
26,06/04,36.0,,,,
27,07/04,41.0,,,,
28,08/04,55.0,,,,
29,09/04,79.0,,,,
30,10/04,85.0,,,,
31,11/04,101.0,,,,
32,12/04,111.0,,,,
33,13/04,136.0,,,,
34,14/04,152.0,,,,
35,15/04,165.0,,,,
36,16/04,195.0,,,,
37,17/04,205.0,,,,
38,18/04,236.0,,,,
39,19/04,245.0,,,,
40,20/04,263.0,,,,
41,21/04,301.0,,,,
42,22/04,345.0,,,,
43,23/04,386.0,,,,
44,24/04,447.0,,,,
45,25/04,499.0,,,,
46,26/04,543.0,,,,
47,27/04,633.0,,,,
48,28/04,698.0,,,,
49,29/04,814.0,,,,
50,30/04,926.0,,,,
51,01/05,1034.0,,,,
52,02/05,1169.0,,,,
53,03/05,1219.0,,,,
54,04/05,1361.0,,,,
55,05/05,1493.0,,,,
56,06/05,1657.0,,,,
57,07/05,1849.0,,,,
58,08/05,2030.0,,,,
59,09/05,2156.0,,,,
60,10/05,2341.0,,,,
61,11/05,2525.0,,,,
62,12/05,2777.0,,,,
63,13/05,3045.0,,,,
64,14/05,3361.0,,,,
65,15/05,3739.0,,,,
66,16/05,4063.0,,,,
67,17/05,4347.0,,,,
68,18/05,4786.0,,,,
69,19/05,5300.0,,,,
70,20/05,5838.0,,,,
71,21/05,6238.0,,,,
72,22/05,6882.0,,,,
73,23/05,7508.0,,,,
74,24/05,7823.0,,,,
75,25/05,8016.0,,,,
76,26/05,8919.0,,,,
77,27/05,10209.0,,,,
78,28/05,11132.0,,,,
79,29/05,12011.0,,,,
80,30/05,12862.0,,,,
81,31/05,13162.0,,,,
82,01/06,13695.0,,,,
83,02/06,14859.0,,,,
84,03/06,16018.0,,,,
85,04/06,17579.0,,,,
86,05/06,18579.0,,,,
87,06/06,19787.0,,,,
88,07/06,20310.0,,,,
89,08/06,20951.0,,,,
90,09/06,22452.0,,,,
91,10/06,24032.0,,,,
92,11/06,25370.0,,,,
93,12/06,26556.0,,,,
94,13/06,27454.0,,,,
95,14/06,28013.0,,,,
96,15/06,28668.0,,,,
97,16/06,30128.0,,,,
98,17/06,31712.0,,,,
99,18/06,33382.0,,,,
100,19/06,35093.0,,,,
101,20/06,36521.0,,,,
102,21/06,36784.0,,,,
103,22/06,37253.0,,,,
104,23/06,38999.0,,,,
105,24/06,39912.0,,,,
106,25/06,40824.0,,,,
107,26/06,42832.0,,,,
108,27/06,44242.0,,,,
109,28/06,44679.0,,,,
110,29/06,45057.0,,,,
111,30/06,46957.0,,,,
112,01/07,48175.0,,,,
113,02/07,49536.0,,,,
114,03/07,50765.0,,,,
115,04/07,52306.0,,,,
116,05/07,52728.0,,,,
117,06/07,53151.0,,,,
118,07/07,54802.0,,,,
119,08/07,56344.0,,,,
120,09/07,57614.0,,,,
121,10/07,59118.0,,,,
122,11/07,60421.0,,,,
123,12/07,60784.0,,,,
124,13/07,61108.0,,,,
125,14/07,62462.0,,,,
126,15/07,63939.0,,,,
127,16/07,65423.0,,,,
128,17/07,66347.0,,,,
129,18/07,66971.0,,,,
130,19/07,67382.0,,,,
131,20/07,67680.0,,,,
132,21/07,68844.0,,,,
133,22/07,70972.0,,,,
0,23/07,72418.0648256654,72006.489858191,72829.6397931399,71788.6152312237,73047.5144201071
1,24/07,73165.40406246981,72395.0701167039,73935.7380082357,71987.2799585613,74343.5281663783
2,25/07,73937.4286817021,72936.03547001269,74938.8218933915,72405.9299250055,75468.9274383986
3,26/07,75029.2010574819,73859.2404297919,76199.1616851719,73239.90068498549,76818.5014299783
4,27/07,76237.1494744175,74887.8607955588,77586.4381532761,74173.590514785,78300.7084340499
5,28/07,77349.45698057741,75785.7869842534,78913.1269769014,74958.0300892228,79740.883871932
6,29/07,78372.2073108015,76576.2635350991,80168.1510865038,75625.5483286171,81118.8662929858
