,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,19/03,3,,,,
2,20/03,4,,,,
3,21/03,4,,,,
4,22/03,6,,,,
5,23/03,6,,,,
6,24/03,8,,,,
7,25/03,8,,,,
8,26/03,9,,,,
9,27/03,10,,,,
10,28/03,11,,,,
11,30/03,18,,,,
12,31/03,18,,,,
13,01/04,19,,,,
14,02/04,19,,,,
15,03/04,22,,,,
16,04/04,24,,,,
17,05/04,24,,,,
18,06/04,26,,,,
19,07/04,31,,,,
20,08/04,38,,,,
21,09/04,40,,,,
22,10/04,41,,,,
23,11/04,44,,,,
24,12/04,51,,,,
25,13/04,58,,,,
26,14/04,75,,,,
27,15/04,91,,,,
28,16/04,102,,,,
29,17/04,123,,,,
30,18/04,144,,,,
31,19/04,158,,,,
32,20/04,186,,,,
33,21/04,206,,,,
34,22/04,217,,,,
35,23/04,256,,,,
36,24/04,297,,,,
37,25/04,331,,,,
38,26/04,364,,,,
39,27/04,408,,,,
40,28/04,454,,,,
41,29/04,513,,,,
0,30/04,687,676.4437173080099,697.5562826919901,670.85555880607,703.1444411939301
1,01/05,774,750.3954343110049,797.6045656889951,737.899932031624,810.100067968376
2,02/05,861,821.5020068886411,900.4979931113589,800.593032351392,921.406967648608
3,03/05,948,890.1808584619561,1005.81914153804,859.573253797686,1036.4267462023101
4,04/05,1035,956.712512270308,1113.2874877296902,915.269619642568,1154.73038035743
5,05/05,1122,1021.29948118871,1222.70051881129,967.991846601391,1276.00815339861
6,06/05,1209,1084.09637876246,1333.90362123754,1017.97639568629,1400.02360431371
7,07/05,1296,1145.22612536737,1446.77387463263,1065.4112573894502,1526.5887426105498
8,08/05,1383,1204.78943713162,1561.21056286838,1110.4504637367402,1655.5495362632598
9,09/05,1470,1262.87077669921,1677.12922330079,1153.22318919506,1786.77681080494
10,10/05,1557,1319.54229268721,1794.4577073127898,1193.8397755522699,1920.1602244477301
11,11/05,1644,1374.8665428127,1913.1334571873,1232.3958965804902,2055.60410341951
12,12/05,1731,1428.89844356614,2033.1015564338602,1268.97553980417,2193.02446019583
13,13/05,1818,1481.6867073139802,2154.31329268602,1303.65320435892,2332.34679564108
