,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,10/03,1.0,,,,
2,11/03,2.0,,,,
3,12/03,4.0,,,,
4,13/03,4.0,,,,
5,16/03,8.0,,,,
6,18/03,19.0,,,,
7,19/03,31.0,,,,
8,20/03,43.0,,,,
9,21/03,69.0,,,,
10,22/03,77.0,,,,
11,23/03,96.0,,,,
12,24/03,112.0,,,,
13,25/03,162.0,,,,
14,26/03,190.0,,,,
15,27/03,197.0,,,,
16,28/03,200.0,,,,
17,29/03,230.0,,,,
18,30/03,254.0,,,,
19,31/03,305.0,,,,
20,01/04,316.0,,,,
21,02/04,386.0,,,,
22,03/04,410.0,,,,
23,04/04,418.0,,,,
24,05/04,468.0,,,,
25,06/04,501.0,,,,
26,07/04,555.0,,,,
27,08/04,581.0,,,,
28,09/04,636.0,,,,
29,10/04,640.0,,,,
30,11/04,653.0,,,,
31,12/04,664.0,,,,
32,13/04,685.0,,,,
33,14/04,720.0,,,,
34,15/04,762.0,,,,
35,16/04,792.0,,,,
36,17/04,831.0,,,,
37,18/04,854.0,,,,
38,19/04,869.0,,,,
39,20/04,904.0,,,,
40,21/04,918.0,,,,
41,22/04,970.0,,,,
42,23/04,1039.0,,,,
43,24/04,1096.0,,,,
44,25/04,1166.0,,,,
45,26/04,1208.0,,,,
46,27/04,1256.0,,,,
0,28/04,1611.47760157416,1585.8634968179801,1637.09170633034,1572.30420881488,1650.6509943334302
1,29/04,1693.95520314832,1650.7068935904801,1737.20351270616,1627.8126214492402,1760.09778484739
2,30/04,1776.4328047224801,1714.6792191729,1838.1863902720602,1681.9888456595002,1870.8767637854603
3,01/05,1858.9104062966396,1777.3269944710999,1940.4938181221698,1734.13934501984,1983.6814675734302
4,02/05,1941.3880078707998,1838.5874090058899,2044.1886067357,1784.1680591918398,2098.6079565497503
5,03/05,2023.86560944495,1898.4848332842,2149.24638560571,1832.11225964952,2215.61895924039
6,04/05,2106.34321101911,1957.06667444037,2255.61974759786,1878.04444934823,2334.64197269
7,05/05,2188.82081259327,2014.3848566364397,2363.2567685501,1922.04403944102,2455.59758574553
8,06/05,2271.29841416743,2070.48980459021,2472.10702374466,1964.18814787887,2578.408680456
9,07/05,2353.77601574159,2125.4285331651104,2582.1234983180802,2004.5486776905398,2703.0033537926397
10,08/05,2436.25361731575,2179.2442173643303,2693.2630172671697,2043.1916593453197,2829.31557528618
11,09/05,2518.7312188899105,2231.97630986439,2805.4861279154197,2080.1774305051,2957.2850072747196
12,10/05,2601.20882046407,2283.66084781061,2918.75679311752,2115.56110522758,3086.8565357005605
13,11/05,2683.68642203823,2334.33080594134,3033.04203813511,2149.39311402317,3217.97973005328
