,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,2.0,,,,
2,13/03,3.0,,,,
3,14/03,5.0,,,,
4,15/03,6.0,,,,
5,16/03,7.0,,,,
6,17/03,7.0,,,,
7,18/03,14.0,,,,
8,19/03,21.0,,,,
9,20/03,40.0,,,,
10,21/03,57.0,,,,
11,22/03,68.0,,,,
12,23/03,86.0,,,,
13,24/03,109.0,,,,
14,25/03,122.0,,,,
15,26/03,149.0,,,,
16,27/03,163.0,,,,
17,28/03,184.0,,,,
18,29/03,197.0,,,,
19,30/03,219.0,,,,
20,31/03,235.0,,,,
21,01/04,247.0,,,,
22,02/04,281.0,,,,
23,03/04,301.0,,,,
24,04/04,356.0,,,,
25,05/04,379.0,,,,
26,06/04,417.0,,,,
27,07/04,457.0,,,,
28,08/04,501.0,,,,
29,09/04,693.0,,,,
30,10/04,717.0,,,,
31,11/04,732.0,,,,
32,12/04,776.0,,,,
33,13/04,826.0,,,,
34,14/04,853.0,,,,
35,15/04,884.0,,,,
36,16/04,926.0,,,,
37,17/04,962.0,,,,
38,18/04,975.0,,,,
39,19/04,1025.0,,,,
40,20/04,1063.0,,,,
41,21/04,1091.0,,,,
42,22/04,1115.0,,,,
43,23/04,1170.0,,,,
44,24/04,1209.0,,,,
45,25/04,1235.0,,,,
46,26/04,1337.0,,,,
47,27/04,1476.0,,,,
48,28/04,1995.0,,,,
49,29/04,2085.0,,,,
50,30/04,2394.0,,,,
0,01/05,2557.63835980545,2462.23653255999,2653.04018705091,2411.7338558528895,2703.5428637580103
1,02/05,2817.76076728236,2658.53516617138,2976.98636839334,2574.24622445424,3061.2753101104804
2,03/05,3013.8417162107203,2756.95391254872,3270.7295198727197,2620.96572371707,3406.71770870437
3,04/05,3252.4302973540102,2895.50320234575,3609.3573923622603,2706.5574116028897,3798.3031831051203
4,05/05,3462.8043618783504,2988.3866001917895,3937.2221235649104,2737.24500747451,4188.36371628219
5,06/05,3691.9058620786104,3093.34583702075,4290.46588713647,2776.48729973597,4607.32442442125
6,07/05,3908.5769934821205,3174.15261696485,4643.00136999938,2785.37183651255,5031.78215045169
7,08/05,4133.49880432178,3255.72013732718,5011.27747131639,2791.05217949487,5475.9454291487
8,09/05,4352.944211985379,3322.61511350021,5383.27331047055,2777.19183529783,5928.6965886729295
9,10/05,4576.024592014461,3385.7778718390505,5766.27131218986,2755.69931835341,6396.3498656755
10,11/05,4796.69225265948,3438.6602573420396,6154.72424797692,2719.7615444174303,6873.62296090153
11,12/05,5018.961360094439,3486.15495504175,6551.76776514712,2674.7362583140803,7363.1864618747995
12,13/05,5240.16750436926,3525.53258967507,6954.80241906345,2617.85969422086,7862.47531451766
13,14/05,5462.07919233551,3559.03993493409,7365.118449736941,2551.63180500186,8372.52657966917
