,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,14/03,1,,,,
2,16/03,5,,,,
3,18/03,6,,,,
4,20/03,7,,,,
5,21/03,10,,,,
6,24/03,15,,,,
7,25/03,16,,,,
8,27/03,16,,,,
9,30/03,18,,,,
10,31/03,19,,,,
11,01/04,22,,,,
12,02/04,24,,,,
13,03/04,27,,,,
14,04/04,32,,,,
15,06/04,32,,,,
16,07/04,36,,,,
17,08/04,39,,,,
18,09/04,40,,,,
19,10/04,42,,,,
20,11/04,44,,,,
21,13/04,45,,,,
22,14/04,46,,,,
23,15/04,48,,,,
24,16/04,53,,,,
25,17/04,58,,,,
26,18/04,71,,,,
0,19/04,349,337.04850336611304,360.951496633887,330.721763217685,367.278236782315
1,20/04,418,391.275641093768,444.724358906232,377.128620045906,458.871379954094
2,21/04,487,442.281594336811,531.7184056631891,418.609100326247,555.390899673753
3,22/04,556,490.538956976728,621.461043023272,455.885974029053,656.1140259709471
4,23/04,625,536.3653287452349,713.6346712547651,489.44496802821703,760.555031971783
5,24/04,694,579.989988453321,808.0100115466789,519.636734005683,868.363265994317
6,25/04,763,621.587984772951,904.412015227049,546.728985802874,979.271014197126
7,26/04,832,661.2984843502439,1002.7015156497599,570.934560438272,1093.06543956173
8,27/04,901,699.2355148691929,1102.76448513081,592.427848205547,1209.57215179445
9,28/04,970,735.494702321927,1204.5052976780698,611.355096439253,1328.64490356075
10,29/04,1039,770.157731140265,1307.84226885974,627.8412306974179,1450.15876930258
11,30/04,1108,803.2954272358479,1412.70457276415,641.994569864525,1574.00543013547
12,01/05,1177,834.969965359964,1519.03003464004,653.91020201705,1700.0897979829501
13,02/05,1246,865.236496146664,1626.7635038533401,663.672472771175,1828.32752722883
