,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,18/03,1.0,,,,
2,19/03,1.0,,,,
3,20/03,1.0,,,,
4,21/03,2.0,,,,
5,22/03,5.0,,,,
6,23/03,7.0,,,,
7,24/03,7.0,,,,
8,25/03,7.0,,,,
9,26/03,8.0,,,,
10,27/03,9.0,,,,
11,28/03,9.0,,,,
12,29/03,10.0,,,,
13,30/03,11.0,,,,
14,31/03,12.0,,,,
15,01/04,12.0,,,,
16,02/04,12.0,,,,
17,03/04,13.0,,,,
18,04/04,16.0,,,,
19,05/04,17.0,,,,
20,06/04,19.0,,,,
21,07/04,19.0,,,,
22,08/04,23.0,,,,
23,09/04,23.0,,,,
24,10/04,23.0,,,,
25,11/04,25.0,,,,
26,12/04,26.0,,,,
27,13/04,26.0,,,,
28,14/04,27.0,,,,
29,15/04,29.0,,,,
30,16/04,31.0,,,,
31,17/04,32.0,,,,
32,18/04,33.0,,,,
33,19/04,34.0,,,,
34,20/04,35.0,,,,
35,21/04,36.0,,,,
36,22/04,37.0,,,,
37,23/04,43.0,,,,
38,24/04,50.0,,,,
39,25/04,58.0,,,,
40,26/04,67.0,,,,
41,27/04,79.0,,,,
42,28/04,116.0,,,,
43,29/04,137.0,,,,
0,30/04,160.252951588029,154.384435608703,166.121467567356,151.277830905087,169.228072270972
1,01/05,183.505903176059,172.348806499205,194.662999852913,166.442596285733,200.569210066385
2,02/05,206.75885476408797,189.544327607015,223.973381921161,180.431507394019,233.086202134158
3,03/05,230.011806352118,206.00695553765,254.01665716658502,193.299555112645,266.724057591591
4,04/05,253.264757940147,221.79452558833802,284.73499029195597,205.135190895811,301.394324984483
5,05/05,276.517709528177,236.957832176648,316.077586879705,216.016098101508,337.019320954845
6,06/05,299.77066111620604,251.53919893778198,348.00212329463,226.007005144044,373.53431708836797
7,07/05,323.023612704235,265.57396837505297,380.47325703341795,235.161963717849,410.885261690621
8,08/05,346.276564292265,279.09202045232496,413.46110813220497,243.52667128419301,449.026457300337
9,09/05,369.529515880294,292.11896232308897,446.9400694375,251.14029060479197,487.918741155796
10,10/05,392.782467468324,304.677018076266,480.88791686038104,258.03681049058997,527.528124446057
11,11/05,416.035419056353,316.785692968662,515.285145144044,264.24606165763197,567.824776455074
12,12/05,439.28837064438204,328.462274820253,550.114466468512,269.79448354498,608.7822577437851
13,13/05,462.541322232412,339.72221810011797,585.360426364705,274.70571172346297,650.376932741361
