,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,08/03,1.0,,,,
2,09/03,1.0,,,,
3,10/03,1.0,,,,
4,11/03,1.0,,,,
5,12/03,1.0,,,,
6,13/03,1.0,,,,
7,14/03,1.0,,,,
8,15/03,1.0,,,,
9,16/03,1.0,,,,
10,17/03,1.0,,,,
11,18/03,1.0,,,,
12,19/03,4.0,,,,
13,20/03,6.0,,,,
14,21/03,7.0,,,,
15,22/03,7.0,,,,
16,23/03,8.0,,,,
17,24/03,10.0,,,,
18,25/03,11.0,,,,
19,26/03,11.0,,,,
20,27/03,12.0,,,,
21,28/03,14.0,,,,
22,29/03,17.0,,,,
23,30/03,17.0,,,,
24,31/03,18.0,,,,
25,01/04,18.0,,,,
26,02/04,18.0,,,,
27,03/04,23.0,,,,
28,04/04,23.0,,,,
29,05/04,28.0,,,,
30,06/04,31.0,,,,
31,07/04,34.0,,,,
32,08/04,37.0,,,,
33,09/04,37.0,,,,
34,10/04,45.0,,,,
35,11/04,48.0,,,,
36,12/04,48.0,,,,
37,13/04,58.0,,,,
38,14/04,72.0,,,,
39,15/04,83.0,,,,
40,16/04,89.0,,,,
41,17/04,110.0,,,,
42,18/04,132.0,,,,
43,19/04,159.0,,,,
44,20/04,171.0,,,,
45,21/04,210.0,,,,
46,22/04,243.0,,,,
47,23/04,324.0,,,,
48,24/04,413.0,,,,
49,25/04,501.0,,,,
50,26/04,560.0,,,,
51,27/04,643.0,,,,
52,28/04,777.0,,,,
53,29/04,957.0,,,,
54,30/04,1045.0,,,,
55,01/05,1226.0,,,,
56,02/05,1371.0,,,,
57,03/05,1441.0,,,,
58,04/05,1538.0,,,,
59,05/05,1605.0,,,,
60,06/05,1703.0,,,,
61,07/05,1867.0,,,,
62,08/05,2033.0,,,,
63,09/05,2170.0,,,,
64,10/05,2258.0,,,,
65,11/05,2343.0,,,,
66,12/05,2580.0,,,,
67,13/05,2761.0,,,,
68,14/05,2972.0,,,,
69,15/05,3212.0,,,,
70,16/05,3593.0,,,,
71,17/05,3816.0,,,,
72,18/05,4031.0,,,,
73,19/05,4319.0,,,,
74,20/05,4437.0,,,,
75,21/05,4916.0,,,,
76,22/05,5302.0,,,,
77,23/05,5630.0,,,,
78,24/05,6214.0,,,,
79,25/05,6682.0,,,,
0,26/05,7195.79270510104,7127.43503856173,7264.150371640359,7091.248675749151,7300.336734452941
1,27/05,7727.156927668841,7603.5400714156,7850.773783922091,7538.1012605756005,7916.212594762091
2,28/05,8206.09751272047,8022.40604965078,8389.78897579016,7925.16566295048,8487.029362490459
3,29/05,8740.41665113023,8473.90862438693,9006.92467787352,8332.82779707914,9148.00550518131
4,30/05,9238.42153532417,8892.582706479929,9584.2603641684,8709.50668927803,9767.336381370309
5,31/05,9746.47909630087,9307.77116959171,10185.18702301,9075.53322162841,10417.4249709733
6,01/06,10265.502370337199,9727.91388206574,10803.0908586086,9443.3317266865,11087.6730139878
