,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,1.0,,,,
2,26/02,1.0,,,,
3,27/02,1.0,,,,
4,28/02,2.0,,,,
5,29/02,2.0,,,,
6,01/03,2.0,,,,
7,02/03,2.0,,,,
8,03/03,2.0,,,,
9,04/03,3.0,,,,
10,05/03,8.0,,,,
11,06/03,14.0,,,,
12,07/03,19.0,,,,
13,08/03,25.0,,,,
14,09/03,25.0,,,,
15,10/03,29.0,,,,
16,11/03,43.0,,,,
17,12/03,89.0,,,,
18,13/03,96.0,,,,
19,14/03,136.0,,,,
20,15/03,155.0,,,,
21,16/03,280.0,,,,
22,17/03,327.0,,,,
23,18/03,514.0,,,,
24,19/03,642.0,,,,
25,20/03,930.0,,,,
26,21/03,1132.0,,,,
27,22/03,1594.0,,,,
28,23/03,1952.0,,,,
29,24/03,2255.0,,,,
30,25/03,2565.0,,,,
31,26/03,2987.0,,,,
32,27/03,3476.0,,,,
33,28/03,3953.0,,,,
34,29/03,4303.0,,,,
35,30/03,4660.0,,,,
36,31/03,5824.0,,,,
37,01/04,6931.0,,,,
38,02/04,8098.0,,,,
39,03/04,9212.0,,,,
40,04/04,10381.0,,,,
41,05/04,11421.0,,,,
42,06/04,12261.0,,,,
43,07/04,14082.0,,,,
44,08/04,16255.0,,,,
45,09/04,18176.0,,,,
46,10/04,19937.0,,,,
47,11/04,20991.0,,,,
48,12/04,22456.0,,,,
49,13/04,23857.0,,,,
50,14/04,25775.0,,,,
51,15/04,29018.0,,,,
52,16/04,31101.0,,,,
53,17/04,34397.0,,,,
54,18/04,37175.0,,,,
55,19/04,39105.0,,,,
56,20/04,40921.0,,,,
57,21/04,43644.0,,,,
58,22/04,46423.0,,,,
59,23/04,50296.0,,,,
60,24/04,54209.0,,,,
61,25/04,59506.0,,,,
62,26/04,63221.0,,,,
63,27/04,67366.0,,,,
64,28/04,73600.0,,,,
65,29/04,79714.0,,,,
66,30/04,87126.0,,,,
67,01/05,92582.0,,,,
68,02/05,97430.0,,,,
69,03/05,101816.0,,,,
70,04/05,108777.0,,,,
71,05/05,116412.0,,,,
72,06/05,126957.0,,,,
73,07/05,136689.0,,,,
74,08/05,147093.0,,,,
75,09/05,157248.0,,,,
76,10/05,163509.0,,,,
77,11/05,169733.0,,,,
78,12/05,179345.0,,,,
79,13/05,191038.0,,,,
80,14/05,205172.0,,,,
81,15/05,220619.0,,,,
82,16/05,234575.0,,,,
83,17/05,242342.0,,,,
84,18/05,256901.0,,,,
85,19/05,272681.0,,,,
86,20/05,294544.0,,,,
87,21/05,312442.0,,,,
88,22/05,334557.0,,,,
89,23/05,351125.0,,,,
90,24/05,365766.0,,,,
91,25/05,378839.0,,,,
92,26/05,395166.0,,,,
93,27/05,414947.0,,,,
94,28/05,443703.0,,,,
95,29/05,470593.0,,,,
96,30/05,502379.0,,,,
97,31/05,516094.0,,,,
98,01/06,531056.0,,,,
99,02/06,562963.0,,,,
100,03/06,586219.0,,,,
0,04/06,608336.42809122,604462.969555767,612209.886626672,602412.484467563,614260.3717148771
1,05/06,631240.526098731,624025.655033269,638455.397164193,620206.332999059,642274.719198403
2,06/06,654144.624106243,643752.341520425,664536.90669206,638250.999430508,670038.248781977
3,07/06,677048.722113754,663384.222265751,690713.221961757,656150.6729919789,697946.771235529
4,08/06,699952.820121265,682862.156668302,717043.483574228,673814.905939508,726090.734303023
5,09/06,722856.9181287771,702168.864635129,743544.971622425,691217.270651496,754496.5656060571
6,10/06,745761.016136288,721300.593963105,770221.4383094709,708352.0286284691,783170.003644107
