,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1,,,,
2,21/03,2,,,,
3,22/03,2,,,,
4,23/03,8,,,,
5,24/03,8,,,,
6,25/03,8,,,,
7,26/03,10,,,,
8,27/03,13,,,,
9,28/03,15,,,,
10,29/03,21,,,,
11,30/03,30,,,,
12,31/03,51,,,,
13,01/04,70,,,,
14,02/04,80,,,,
15,03/04,87,,,,
16,04/04,95,,,,
17,05/04,132,,,,
18,06/04,171,,,,
19,07/04,229,,,,
20,08/04,272,,,,
21,09/04,293,,,,
22,10/04,344,,,,
23,11/04,398,,,,
24,12/04,445,,,,
25,13/04,478,,,,
26,14/04,630,,,,
27,15/04,695,,,,
28,16/04,797,,,,
29,17/04,1040,,,,
30,18/04,1205,,,,
31,19/04,1320,,,,
32,20/04,1396,,,,
33,21/04,1604,,,,
34,22/04,1757,,,,
35,23/04,1951,,,,
36,24/04,2105,,,,
37,25/04,2223,,,,
38,26/04,2410,,,,
39,27/04,2528,,,,
40,28/04,2804,,,,
41,29/04,3190,,,,
42,30/04,3506,,,,
43,01/05,3805,,,,
44,02/05,4040,,,,
45,03/05,4227,,,,
46,04/05,4530,,,,
47,05/05,5028,,,,
48,06/05,5389,,,,
49,07/05,5909,,,,
50,08/05,6765,,,,
51,09/05,7599,,,,
52,10/05,8144,,,,
53,11/05,8526,,,,
54,12/05,9112,,,,
55,13/05,9801,,,,
56,14/05,10739,,,,
57,15/05,11592,,,,
58,16/05,12492,,,,
59,17/05,13238,,,,
60,18/05,14198,,,,
61,19/05,15114,,,,
62,20/05,16058,,,,
63,21/05,17212,,,,
64,22/05,18767,,,,
65,23/05,21191,,,,
66,24/05,22786,,,,
67,25/05,24278,,,,
68,26/05,26145,,,,
0,27/05,28012,27764.9276064779,28259.0723935221,27634.1353819098,28389.8646180902
1,28/05,29879,29326.529332721002,30431.470667278998,29034.0690276582,30723.9309723418
2,29/05,31746,30821.539753710098,32670.460246289902,30332.1600605222,33159.839939477795
3,30/05,33613,32259.7287673114,34966.271232688596,31543.350249888997,35682.649750111
4,31/05,35480,33647.6620889582,37312.3379110418,32677.6809909922,38282.3190090078
5,01/06,37347,34990.079582313396,39703.920417686604,33742.4012797528,40951.5987202472
6,02/06,39214,36290.6000154436,42137.3999845564,34743.0455443354,43684.9544556646
