,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,14/03,2.0,,,,
2,15/03,2.0,,,,
3,16/03,4.0,,,,
4,17/03,6.0,,,,
5,18/03,7.0,,,,
6,19/03,9.0,,,,
7,20/03,12.0,,,,
8,21/03,16.0,,,,
9,22/03,21.0,,,,
10,23/03,21.0,,,,
11,24/03,24.0,,,,
12,25/03,24.0,,,,
13,26/03,25.0,,,,
14,27/03,28.0,,,,
15,28/03,31.0,,,,
16,29/03,36.0,,,,
17,30/03,44.0,,,,
18,31/03,48.0,,,,
19,01/04,51.0,,,,
20,02/04,53.0,,,,
21,03/04,60.0,,,,
22,04/04,62.0,,,,
23,05/04,65.0,,,,
24,06/04,66.0,,,,
25,07/04,80.0,,,,
26,08/04,85.0,,,,
27,09/04,89.0,,,,
28,10/04,97.0,,,,
29,11/04,100.0,,,,
30,12/04,101.0,,,,
31,13/04,113.0,,,,
32,14/04,115.0,,,,
33,15/04,121.0,,,,
34,16/04,131.0,,,,
35,17/04,143.0,,,,
36,18/04,161.0,,,,
37,19/04,168.0,,,,
38,20/04,171.0,,,,
39,21/04,173.0,,,,
40,22/04,175.0,,,,
41,23/04,186.0,,,,
42,24/04,213.0,,,,
43,25/04,217.0,,,,
44,26/04,234.0,,,,
45,27/04,238.0,,,,
46,28/04,240.0,,,,
47,29/04,249.0,,,,
48,30/04,255.0,,,,
49,01/05,261.0,,,,
50,02/05,266.0,,,,
51,03/05,272.0,,,,
52,04/05,274.0,,,,
53,05/05,283.0,,,,
54,06/05,288.0,,,,
55,07/05,311.0,,,,
56,08/05,326.0,,,,
57,09/05,346.0,,,,
58,10/05,362.0,,,,
59,11/05,385.0,,,,
60,12/05,405.0,,,,
61,13/05,430.0,,,,
62,14/05,452.0,,,,
63,15/05,479.0,,,,
64,16/05,508.0,,,,
65,17/05,570.0,,,,
66,18/05,613.0,,,,
67,19/05,642.0,,,,
68,20/05,693.0,,,,
69,21/05,746.0,,,,
70,22/05,805.0,,,,
71,23/05,858.0,,,,
72,24/05,1023.0,,,,
0,25/05,1129.80920781897,1110.28889106518,1149.32952457276,1099.95545957125,1159.66295606669
1,26/05,1266.85206112594,1231.97836820502,1301.72575404686,1213.5173503186802,1320.1867719332001
2,27/05,1388.1867020983802,1332.39728381709,1443.9761203796697,1302.86414974107,1473.50925445569
3,28/05,1517.68271199487,1439.0197599944102,1596.34566399534,1397.37810858784,1637.98731540191
4,29/05,1642.9383957933999,1538.44082753998,1747.4359640468201,1483.12315639515,1802.7536351916501
5,30/05,1770.39718615216,1637.9480498187602,1902.84632248557,1567.83371233159,1972.96065997274
6,31/05,1896.71132904665,1734.0876647013902,2059.3349933919103,1647.99989696691,2145.4227611263896
