,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,20/03,1.0,,,,
2,21/03,1.0,,,,
3,22/03,2.0,,,,
4,23/03,6.0,,,,
5,24/03,7.0,,,,
6,25/03,9.0,,,,
7,26/03,11.0,,,,
8,27/03,11.0,,,,
9,28/03,11.0,,,,
10,29/03,11.0,,,,
11,30/03,18.0,,,,
12,31/03,25.0,,,,
13,01/04,28.0,,,,
14,02/04,41.0,,,,
15,03/04,44.0,,,,
16,04/04,60.0,,,,
17,05/04,60.0,,,,
18,06/04,76.0,,,,
19,07/04,78.0,,,,
20,08/04,90.0,,,,
21,09/04,108.0,,,,
22,10/04,112.0,,,,
23,11/04,121.0,,,,
24,12/04,123.0,,,,
25,13/04,134.0,,,,
26,14/04,138.0,,,,
27,15/04,151.0,,,,
28,16/04,156.0,,,,
29,17/04,162.0,,,,
30,18/04,171.0,,,,
31,19/04,174.0,,,,
32,20/04,181.0,,,,
33,21/04,181.0,,,,
34,22/04,205.0,,,,
35,23/04,220.0,,,,
36,24/04,241.0,,,,
37,25/04,246.0,,,,
38,26/04,249.0,,,,
39,27/04,256.0,,,,
40,28/04,263.0,,,,
41,29/04,292.0,,,,
42,30/04,302.0,,,,
43,01/05,320.0,,,,
44,02/05,333.0,,,,
45,03/05,337.0,,,,
46,04/05,344.0,,,,
47,05/05,366.0,,,,
48,06/05,385.0,,,,
49,07/05,419.0,,,,
50,08/05,464.0,,,,
51,09/05,502.0,,,,
52,10/05,519.0,,,,
53,11/05,545.0,,,,
54,12/05,604.0,,,,
55,13/05,673.0,,,,
56,14/05,734.0,,,,
57,15/05,792.0,,,,
58,16/05,857.0,,,,
59,17/05,901.0,,,,
60,18/05,941.0,,,,
61,19/05,1005.0,,,,
62,20/05,1090.0,,,,
63,21/05,1187.0,,,,
64,22/05,1271.0,,,,
65,23/05,1363.0,,,,
0,24/05,1453.27933621869,1438.9257862669501,1467.63288617043,1431.32747590181,1475.23119653557
1,25/05,1543.55867243738,1515.14348707599,1571.97385779876,1500.10139656984,1587.01594830491
2,26/05,1633.8380086560699,1588.99330108952,1678.6827162226098,1565.25394689004,1702.4220704221
3,27/05,1724.1173448747597,1660.68429184202,1787.55039790749,1627.1048619468802,1821.12982780263
4,28/05,1814.39668109345,1730.41817951053,1898.3751826763603,1685.9626461288,1942.8307160581
5,29/05,1904.67601731214,1798.3566397842499,2010.9953948400303,1742.0745610649699,2067.2774735593
6,30/05,1994.95535353083,1864.62934363837,2125.2813634232803,1795.6389213984398,2194.2717856632103
