,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,0,,,,
2,13/03,0,,,,
3,14/03,0,,,,
4,15/03,0,,,,
5,16/03,0,,,,
6,17/03,0,,,,
7,18/03,1,,,,
8,19/03,1,,,,
9,20/03,1,,,,
10,21/03,1,,,,
11,22/03,1,,,,
12,23/03,2,,,,
13,24/03,3,,,,
14,25/03,5,,,,
15,26/03,6,,,,
16,27/03,10,,,,
17,28/03,14,,,,
18,29/03,14,,,,
19,30/03,17,,,,
20,31/03,18,,,,
21,01/04,21,,,,
22,02/04,29,,,,
23,03/04,32,,,,
24,04/04,34,,,,
25,05/04,35,,,,
26,06/04,36,,,,
27,07/04,41,,,,
28,08/04,55,,,,
29,09/04,79,,,,
30,10/04,85,,,,
31,11/04,101,,,,
32,12/04,111,,,,
33,13/04,136,,,,
34,14/04,152,,,,
35,15/04,165,,,,
36,16/04,195,,,,
37,17/04,205,,,,
38,18/04,236,,,,
39,19/04,245,,,,
40,20/04,263,,,,
41,21/04,301,,,,
42,22/04,345,,,,
43,23/04,386,,,,
44,24/04,447,,,,
45,25/04,499,,,,
46,26/04,543,,,,
47,27/04,633,,,,
48,28/04,698,,,,
49,29/04,814,,,,
50,30/04,926,,,,
51,01/05,1034,,,,
52,02/05,1169,,,,
53,03/05,1219,,,,
54,04/05,1361,,,,
55,05/05,1493,,,,
56,06/05,1657,,,,
57,07/05,1849,,,,
58,08/05,2030,,,,
59,09/05,2156,,,,
60,10/05,2341,,,,
61,11/05,2525,,,,
62,12/05,2777,,,,
63,13/05,3045,,,,
64,14/05,3361,,,,
65,15/05,3739,,,,
66,16/05,4063,,,,
67,17/05,4347,,,,
68,18/05,4786,,,,
69,19/05,5300,,,,
0,20/05,5814,5769.91660567755,5858.08339432245,5746.5802663652,5881.4197336348
1,21/05,6328,6229.426533616071,6426.573466383929,6177.24489256765,6478.75510743235
2,22/05,6842,6677.05504199933,7006.94495800067,6589.738455631011,7094.26154436899
3,23/05,7356,7114.5453051819795,7597.4546948180205,6986.726910672281,7725.273089327719
4,24/05,7870,7543.06879771979,8196.93120228021,7370.00187341718,8369.99812658282
5,25/05,8384,7963.47122024292,8804.52877975708,7740.85673136672,9027.14326863328
6,26/05,8898,8376.39824415707,9419.60175584293,8100.27895372235,9695.72104627765
