,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,0.0,,,,
2,13/03,0.0,,,,
3,14/03,0.0,,,,
4,15/03,0.0,,,,
5,16/03,0.0,,,,
6,17/03,0.0,,,,
7,18/03,1.0,,,,
8,19/03,1.0,,,,
9,20/03,1.0,,,,
10,21/03,1.0,,,,
11,22/03,1.0,,,,
12,23/03,2.0,,,,
13,24/03,3.0,,,,
14,25/03,5.0,,,,
15,26/03,6.0,,,,
16,27/03,10.0,,,,
17,28/03,14.0,,,,
18,29/03,14.0,,,,
19,30/03,17.0,,,,
20,31/03,18.0,,,,
21,01/04,21.0,,,,
22,02/04,29.0,,,,
23,03/04,32.0,,,,
24,04/04,34.0,,,,
25,05/04,35.0,,,,
26,06/04,36.0,,,,
27,07/04,41.0,,,,
28,08/04,55.0,,,,
29,09/04,79.0,,,,
30,10/04,85.0,,,,
31,11/04,101.0,,,,
32,12/04,111.0,,,,
33,13/04,136.0,,,,
34,14/04,152.0,,,,
35,15/04,165.0,,,,
36,16/04,195.0,,,,
37,17/04,205.0,,,,
38,18/04,236.0,,,,
39,19/04,245.0,,,,
40,20/04,263.0,,,,
41,21/04,301.0,,,,
42,22/04,345.0,,,,
43,23/04,386.0,,,,
44,24/04,447.0,,,,
45,25/04,499.0,,,,
46,26/04,543.0,,,,
47,27/04,633.0,,,,
48,28/04,698.0,,,,
49,29/04,814.0,,,,
50,30/04,926.0,,,,
51,01/05,1034.0,,,,
52,02/05,1169.0,,,,
53,03/05,1219.0,,,,
54,04/05,1361.0,,,,
55,05/05,1493.0,,,,
56,06/05,1657.0,,,,
57,07/05,1849.0,,,,
58,08/05,2030.0,,,,
59,09/05,2156.0,,,,
60,10/05,2341.0,,,,
61,11/05,2525.0,,,,
62,12/05,2777.0,,,,
63,13/05,3045.0,,,,
64,14/05,3361.0,,,,
65,15/05,3739.0,,,,
66,16/05,4063.0,,,,
67,17/05,4347.0,,,,
68,18/05,4786.0,,,,
69,19/05,5300.0,,,,
70,20/05,5838.0,,,,
71,21/05,6238.0,,,,
72,22/05,6882.0,,,,
73,23/05,7508.0,,,,
74,24/05,7823.0,,,,
75,25/05,8016.0,,,,
76,26/05,8919.0,,,,
77,27/05,10209.0,,,,
78,28/05,11132.0,,,,
79,29/05,12011.0,,,,
80,30/05,12862.0,,,,
81,31/05,13162.0,,,,
82,01/06,13695.0,,,,
83,02/06,14859.0,,,,
84,03/06,16018.0,,,,
85,04/06,17579.0,,,,
86,05/06,18579.0,,,,
87,06/06,19787.0,,,,
0,07/06,21050.0903253275,20852.3289179491,21247.8517327059,20747.6403526423,21352.540298012602
1,08/06,22200.8010739063,21798.304985917,22603.2971618956,21585.2364274365,22816.3657203761
2,09/06,23351.5118224851,22758.5261660612,23944.497478909103,22444.6185212812,24258.405123689103
3,10/06,24502.222571063998,23713.2909987057,25291.1541434222,23295.655851736003,25708.7892903919
4,11/06,25652.933319642798,24658.567692599303,26647.2989466863,24132.1823261846,27173.684313101003
5,12/06,26803.6440682216,25593.2314526842,28014.056683759103,24952.4777190328,28654.8104174104
6,13/06,27954.354816800496,26517.05286082,29391.656772780898,25756.1911655131,30152.5184680879
