,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,19/03,3.0,,,,
2,20/03,4.0,,,,
3,21/03,4.0,,,,
4,22/03,6.0,,,,
5,23/03,6.0,,,,
6,24/03,8.0,,,,
7,25/03,8.0,,,,
8,26/03,9.0,,,,
9,27/03,10.0,,,,
10,28/03,11.0,,,,
11,29/03,11.0,,,,
12,30/03,18.0,,,,
13,31/03,18.0,,,,
14,01/04,19.0,,,,
15,02/04,19.0,,,,
16,03/04,22.0,,,,
17,04/04,24.0,,,,
18,05/04,24.0,,,,
19,06/04,26.0,,,,
20,07/04,31.0,,,,
21,08/04,38.0,,,,
22,09/04,40.0,,,,
23,10/04,41.0,,,,
24,11/04,44.0,,,,
25,12/04,51.0,,,,
26,13/04,58.0,,,,
27,14/04,75.0,,,,
28,15/04,91.0,,,,
29,16/04,102.0,,,,
30,17/04,123.0,,,,
31,18/04,144.0,,,,
32,19/04,158.0,,,,
33,20/04,186.0,,,,
34,21/04,206.0,,,,
35,22/04,217.0,,,,
36,23/04,256.0,,,,
37,24/04,297.0,,,,
38,25/04,331.0,,,,
39,26/04,364.0,,,,
40,27/04,408.0,,,,
41,28/04,454.0,,,,
42,29/04,513.0,,,,
43,30/04,600.0,,,,
44,01/05,665.0,,,,
45,02/05,742.0,,,,
46,03/05,784.0,,,,
47,04/05,875.0,,,,
48,05/05,949.0,,,,
49,06/05,1051.0,,,,
50,07/05,1131.0,,,,
51,08/05,1233.0,,,,
52,09/05,1278.0,,,,
53,10/05,1332.0,,,,
54,11/05,1443.0,,,,
55,12/05,1612.0,,,,
56,13/05,1784.0,,,,
57,14/05,1905.0,,,,
58,15/05,2085.0,,,,
59,16/05,2252.0,,,,
60,17/05,2287.0,,,,
61,18/05,2440.0,,,,
62,19/05,2637.0,,,,
63,20/05,2852.0,,,,
64,21/05,3074.0,,,,
65,22/05,3258.0,,,,
66,23/05,3390.0,,,,
67,24/05,3550.0,,,,
68,25/05,3720.0,,,,
69,26/05,3966.0,,,,
70,27/05,4243.0,,,,
71,28/05,4503.0,,,,
0,29/05,4743.71757520197,4704.78887774784,4782.64627265611,4684.18127012732,4803.25388027662
1,30/05,4979.55959284771,4902.3021874893,5056.816998206121,4861.40458753027,5097.71459816516
2,31/05,5215.40161049345,5100.96647205531,5329.83674893159,5040.38816902549,5390.4150519614095
3,01/06,5451.24362813919,5297.87745069815,5604.6098055802395,5216.69030050677,5685.79695577162
4,02/06,5687.0856457849295,5492.47908032335,5881.69221124651,5389.46058744587,5984.710704124001
5,03/06,5922.92766343067,5684.657539536689,6161.19778732465,5558.52495504208,6287.33037181927
6,04/06,6158.76968107641,5874.42894804744,6443.110414105389,5723.9080562633,6593.63130588953
