,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,19/03,3.0,,,,
2,20/03,4.0,,,,
3,21/03,4.0,,,,
4,22/03,6.0,,,,
5,23/03,6.0,,,,
6,24/03,8.0,,,,
7,25/03,8.0,,,,
8,26/03,9.0,,,,
9,27/03,10.0,,,,
10,28/03,11.0,,,,
11,29/03,11.0,,,,
12,30/03,18.0,,,,
13,31/03,18.0,,,,
14,01/04,19.0,,,,
15,02/04,19.0,,,,
16,03/04,22.0,,,,
17,04/04,24.0,,,,
18,05/04,24.0,,,,
19,06/04,26.0,,,,
20,07/04,31.0,,,,
21,08/04,38.0,,,,
22,09/04,40.0,,,,
23,10/04,41.0,,,,
24,11/04,44.0,,,,
25,12/04,51.0,,,,
26,13/04,58.0,,,,
27,14/04,75.0,,,,
28,15/04,91.0,,,,
29,16/04,102.0,,,,
30,17/04,123.0,,,,
31,18/04,144.0,,,,
32,19/04,158.0,,,,
33,20/04,186.0,,,,
34,21/04,206.0,,,,
35,22/04,217.0,,,,
36,23/04,256.0,,,,
37,24/04,297.0,,,,
38,25/04,331.0,,,,
39,26/04,364.0,,,,
40,27/04,408.0,,,,
41,28/04,454.0,,,,
42,29/04,513.0,,,,
43,30/04,600.0,,,,
44,01/05,665.0,,,,
45,02/05,742.0,,,,
46,03/05,784.0,,,,
47,04/05,875.0,,,,
48,05/05,949.0,,,,
49,06/05,1051.0,,,,
50,07/05,1131.0,,,,
51,08/05,1233.0,,,,
52,09/05,1278.0,,,,
53,10/05,1332.0,,,,
54,11/05,1443.0,,,,
55,12/05,1612.0,,,,
56,13/05,1784.0,,,,
57,14/05,1905.0,,,,
58,15/05,2085.0,,,,
59,16/05,2252.0,,,,
60,17/05,2287.0,,,,
61,18/05,2440.0,,,,
62,19/05,2637.0,,,,
63,20/05,2852.0,,,,
64,21/05,3074.0,,,,
65,22/05,3258.0,,,,
66,23/05,3390.0,,,,
67,24/05,3550.0,,,,
68,25/05,3720.0,,,,
69,26/05,3966.0,,,,
70,27/05,4243.0,,,,
71,28/05,4503.0,,,,
72,29/05,4745.0,,,,
73,30/05,4931.0,,,,
0,31/05,5130.45460001845,5091.3405305357,5169.5686695012,5070.63479289082,5190.274407146079
1,01/06,5343.70242779657,5266.35912283904,5421.0457327541,5225.416050379021,5461.9888052141205
2,02/06,5556.95025557469,5443.25586818655,5670.6446429628195,5383.069695075829,5730.83081607355
3,03/06,5770.1980833528105,5618.8212954673,5921.57487123831,5538.68726449248,6001.7089022131295
4,04/06,5983.445911130921,5792.398058077621,6174.49376418422,5691.263433753161,6275.62838850868
5,05/06,6196.693738909039,5963.81779503679,6429.56968278129,5840.54071695754,6552.84676086054
6,06/06,6409.941566687161,6133.06173369369,6686.82139968062,5986.49040381332,6833.392729561
