,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,1.0,,,,
2,13/03,1.0,,,,
3,14/03,1.0,,,,
4,15/03,1.0,,,,
5,16/03,1.0,,,,
6,17/03,1.0,,,,
7,18/03,1.0,,,,
8,19/03,1.0,,,,
9,20/03,6.0,,,,
10,21/03,9.0,,,,
11,22/03,13.0,,,,
12,23/03,13.0,,,,
13,24/03,14.0,,,,
14,25/03,14.0,,,,
15,26/03,19.0,,,,
16,27/03,28.0,,,,
17,28/03,68.0,,,,
18,29/03,68.0,,,,
19,30/03,77.0,,,,
20,31/03,82.0,,,,
21,01/04,92.0,,,,
22,02/04,106.0,,,,
23,03/04,176.0,,,,
24,04/04,215.0,,,,
25,05/04,246.0,,,,
26,06/04,246.0,,,,
27,07/04,254.0,,,,
28,08/04,261.0,,,,
29,09/04,261.0,,,,
30,10/04,263.0,,,,
31,11/04,289.0,,,,
32,12/04,339.0,,,,
33,13/04,376.0,,,,
34,14/04,399.0,,,,
35,15/04,400.0,,,,
36,16/04,463.0,,,,
37,17/04,516.0,,,,
38,18/04,561.0,,,,
39,19/04,595.0,,,,
40,20/04,608.0,,,,
41,21/04,646.0,,,,
42,22/04,708.0,,,,
43,23/04,754.0,,,,
44,24/04,781.0,,,,
45,25/04,825.0,,,,
46,26/04,832.0,,,,
47,27/04,857.0,,,,
48,28/04,1086.0,,,,
49,29/04,1177.0,,,,
50,30/04,1297.0,,,,
51,01/05,1366.0,,,,
52,02/05,1392.0,,,,
53,03/05,1421.0,,,,
54,04/05,1536.0,,,,
55,05/05,1644.0,,,,
56,06/05,1739.0,,,,
57,07/05,1821.0,,,,
58,08/05,1919.0,,,,
59,09/05,1919.0,,,,
60,10/05,1930.0,,,,
61,11/05,2033.0,,,,
62,12/05,2367.0,,,,
63,13/05,2537.0,,,,
64,14/05,2786.0,,,,
65,15/05,2786.0,,,,
66,16/05,3004.0,,,,
67,17/05,3138.0,,,,
68,18/05,3483.0,,,,
69,19/05,3796.0,,,,
70,20/05,4060.0,,,,
71,21/05,4251.0,,,,
72,22/05,4599.0,,,,
73,23/05,4599.0,,,,
74,24/05,4774.0,,,,
75,25/05,5472.0,,,,
76,26/05,5630.0,,,,
77,27/05,5630.0,,,,
78,28/05,6463.0,,,,
79,29/05,7402.0,,,,
80,30/05,7402.0,,,,
81,31/05,8008.0,,,,
82,01/06,8233.0,,,,
83,02/06,9149.0,,,,
84,03/06,9282.0,,,,
85,04/06,9433.0,,,,
86,05/06,9449.0,,,,
0,06/06,9842.63847276336,9630.24665189737,10055.030293629301,9517.813213522759,10167.463732004
1,07/06,10148.1670469575,9853.2857057813,10443.0483881337,9697.184953098,10599.149140816999
2,08/06,10453.6956211516,10073.3228361557,10834.0684061476,9871.96564684946,11035.425595453798
3,09/06,10759.2241953458,10289.2819577551,11229.1664329365,10040.5095643817,11477.938826309899
4,10/06,11064.7527695399,10500.8451270856,11628.660411994199,10202.330453081999,11927.1750859979
5,11/06,11370.2813437341,10707.958240006501,12032.6044474617,10357.3455678074,12383.217119660701
6,12/06,11675.8099179282,10910.6720409827,12440.947794873799,10505.6325155203,12845.9873203361
