,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,21/03,2.0,,,,
2,22/03,2.0,,,,
3,23/03,2.0,,,,
4,24/03,8.0,,,,
5,25/03,8.0,,,,
6,26/03,10.0,,,,
7,27/03,12.0,,,,
8,28/03,16.0,,,,
9,29/03,16.0,,,,
10,30/03,16.0,,,,
11,31/03,16.0,,,,
12,01/04,26.0,,,,
13,02/04,30.0,,,,
14,03/04,37.0,,,,
15,04/04,42.0,,,,
16,05/04,42.0,,,,
17,06/04,42.0,,,,
18,07/04,49.0,,,,
19,08/04,52.0,,,,
20,09/04,63.0,,,,
21,10/04,75.0,,,,
22,11/04,79.0,,,,
23,12/04,83.0,,,,
24,13/04,113.0,,,,
25,14/04,114.0,,,,
26,15/04,142.0,,,,
27,16/04,164.0,,,,
28,17/04,201.0,,,,
29,18/04,222.0,,,,
30,19/04,244.0,,,,
31,20/04,247.0,,,,
32,21/04,280.0,,,,
33,22/04,297.0,,,,
34,23/04,304.0,,,,
35,24/04,345.0,,,,
36,25/04,401.0,,,,
37,26/04,407.0,,,,
38,27/04,425.0,,,,
39,28/04,425.0,,,,
40,29/04,426.0,,,,
41,30/04,519.0,,,,
42,01/05,519.0,,,,
43,02/05,519.0,,,,
44,03/05,533.0,,,,
45,04/05,578.0,,,,
46,05/05,869.0,,,,
47,06/05,932.0,,,,
48,07/05,1020.0,,,,
49,08/05,1124.0,,,,
50,09/05,1202.0,,,,
51,10/05,1290.0,,,,
52,11/05,1295.0,,,,
53,12/05,1411.0,,,,
54,13/05,1411.0,,,,
55,14/05,1500.0,,,,
56,15/05,1589.0,,,,
57,16/05,1706.0,,,,
58,17/05,1791.0,,,,
59,18/05,1882.0,,,,
60,19/05,1988.0,,,,
61,20/05,1988.0,,,,
62,21/05,1988.0,,,,
63,22/05,2296.0,,,,
64,23/05,2439.0,,,,
0,24/05,2545.2080168213897,2475.42751900571,2614.98851463707,2438.4879548128897,2651.9280788298997
1,25/05,2651.4160336427803,2544.60515410234,2758.22691318323,2488.06288993423,2814.7691773513297
2,26/05,2757.62405046417,2616.68612954894,2898.5619713794,2542.07810094756,2973.16999998078
3,27/05,2863.8320672855602,2689.24719457309,3038.4169399980296,2596.82754560911,3130.8365889620195
4,28/05,2970.04008410695,2761.4652440948403,3178.61492411906,2651.05239332978,3289.02777488412
5,29/05,3076.2481009283397,2832.9786719333197,3319.5175299233697,2704.1996151795497,3448.29658667714
6,30/05,3182.4561177497303,2903.60976115528,3461.30247434419,2755.9974165635,3608.9148189359703
