,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,21/03,2.0,,,,
2,22/03,2.0,,,,
3,23/03,2.0,,,,
4,24/03,8.0,,,,
5,25/03,8.0,,,,
6,26/03,10.0,,,,
7,27/03,12.0,,,,
8,28/03,16.0,,,,
9,29/03,16.0,,,,
10,30/03,16.0,,,,
11,31/03,16.0,,,,
12,01/04,26.0,,,,
13,02/04,30.0,,,,
14,03/04,37.0,,,,
15,04/04,42.0,,,,
16,05/04,42.0,,,,
17,06/04,42.0,,,,
18,07/04,49.0,,,,
19,08/04,52.0,,,,
20,09/04,63.0,,,,
21,10/04,75.0,,,,
22,11/04,79.0,,,,
23,12/04,83.0,,,,
24,13/04,113.0,,,,
25,14/04,114.0,,,,
26,15/04,142.0,,,,
27,16/04,164.0,,,,
28,17/04,201.0,,,,
29,18/04,222.0,,,,
30,19/04,244.0,,,,
31,20/04,247.0,,,,
32,21/04,280.0,,,,
33,22/04,297.0,,,,
34,23/04,304.0,,,,
35,24/04,345.0,,,,
36,25/04,401.0,,,,
37,26/04,407.0,,,,
38,27/04,425.0,,,,
39,28/04,425.0,,,,
40,29/04,426.0,,,,
41,30/04,519.0,,,,
42,01/05,519.0,,,,
43,02/05,519.0,,,,
44,03/05,533.0,,,,
45,04/05,578.0,,,,
46,05/05,869.0,,,,
47,06/05,932.0,,,,
48,07/05,1020.0,,,,
49,08/05,1124.0,,,,
50,09/05,1202.0,,,,
51,10/05,1290.0,,,,
52,11/05,1295.0,,,,
53,12/05,1411.0,,,,
54,13/05,1411.0,,,,
55,14/05,1500.0,,,,
56,15/05,1589.0,,,,
57,16/05,1706.0,,,,
58,17/05,1791.0,,,,
59,18/05,1882.0,,,,
60,19/05,1988.0,,,,
61,20/05,1988.0,,,,
62,21/05,1988.0,,,,
63,22/05,2296.0,,,,
64,23/05,2439.0,,,,
65,24/05,2439.0,,,,
66,25/05,2564.0,,,,
67,26/05,2682.0,,,,
68,27/05,2959.0,,,,
69,28/05,3098.0,,,,
70,29/05,3299.0,,,,
71,30/05,3474.0,,,,
72,31/05,3692.0,,,,
73,01/06,3850.0,,,,
74,02/06,4143.0,,,,
75,03/06,4143.0,,,,
76,04/06,4831.0,,,,
77,05/06,5238.0,,,,
78,06/06,5529.0,,,,
79,07/06,5768.0,,,,
80,08/06,6056.0,,,,
0,09/06,6341.737424275129,6228.664025577621,6454.81082297264,6168.806584022529,6514.66826452773
1,10/06,6627.47484855026,6449.21044604167,6805.73925105885,6354.84297166288,6900.10672543764
2,11/06,6913.21227282539,6671.961424612621,7154.46312103817,6544.25093997739,7282.173605673391
3,12/06,7198.94969710052,6893.53018591125,7504.36920828979,6731.85086299905,7666.048531201991
4,13/06,7484.687121375649,7112.881155858629,7856.493086892671,6916.058966845771,8053.31527590553
5,14/06,7770.42454565078,7329.62762309187,8211.221468209691,7096.2838275249205,8444.56526377664
6,15/06,8056.161969925909,7543.62710156831,8568.69683828352,7272.30753143908,8840.01640841275
