,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,2.0,,,,
2,13/03,3.0,,,,
3,14/03,5.0,,,,
4,15/03,6.0,,,,
5,16/03,7.0,,,,
6,17/03,7.0,,,,
7,18/03,14.0,,,,
8,19/03,21.0,,,,
9,20/03,40.0,,,,
10,21/03,57.0,,,,
11,22/03,68.0,,,,
12,23/03,86.0,,,,
13,24/03,109.0,,,,
14,25/03,122.0,,,,
15,26/03,149.0,,,,
16,27/03,163.0,,,,
17,28/03,184.0,,,,
18,29/03,197.0,,,,
19,30/03,219.0,,,,
20,31/03,235.0,,,,
21,01/04,247.0,,,,
22,02/04,281.0,,,,
23,03/04,301.0,,,,
24,04/04,356.0,,,,
25,05/04,379.0,,,,
26,06/04,417.0,,,,
27,07/04,457.0,,,,
28,08/04,501.0,,,,
29,09/04,693.0,,,,
30,10/04,717.0,,,,
31,11/04,732.0,,,,
32,12/04,776.0,,,,
33,13/04,826.0,,,,
34,14/04,853.0,,,,
35,15/04,884.0,,,,
36,16/04,926.0,,,,
37,17/04,962.0,,,,
38,18/04,975.0,,,,
39,19/04,1025.0,,,,
40,20/04,1063.0,,,,
41,21/04,1091.0,,,,
42,22/04,1115.0,,,,
43,23/04,1170.0,,,,
44,24/04,1209.0,,,,
45,25/04,1235.0,,,,
46,26/04,1337.0,,,,
47,27/04,1476.0,,,,
48,28/04,1995.0,,,,
49,29/04,2085.0,,,,
50,30/04,2394.0,,,,
51,01/05,2104.0,,,,
52,02/05,2346.0,,,,
53,03/05,2519.0,,,,
54,04/05,2623.0,,,,
55,05/05,2795.0,,,,
56,06/05,2917.0,,,,
57,07/05,3082.0,,,,
58,08/05,3205.0,,,,
59,09/05,3372.0,,,,
60,10/05,3429.0,,,,
61,11/05,3529.0,,,,
62,12/05,3733.0,,,,
63,13/05,3828.0,,,,
64,14/05,4332.0,,,,
65,15/05,4562.0,,,,
66,16/05,4678.0,,,,
67,17/05,4776.0,,,,
68,18/05,5175.0,,,,
69,19/05,5413.0,,,,
70,20/05,5499.0,,,,
71,21/05,5610.0,,,,
72,22/05,6458.0,,,,
73,23/05,6607.0,,,,
74,24/05,6696.0,,,,
75,25/05,6875.0,,,,
76,26/05,7016.0,,,,
77,27/05,7372.0,,,,
0,28/05,7578.71019962187,7412.046478214829,7745.3739210289095,7323.82003345957,7833.60036578417
1,29/05,7810.72773228923,7586.68088895287,8034.774575625601,7468.07765437172,8153.377810206741
2,30/05,8042.7452649566,7761.193066655291,8324.29746325791,7612.148335987808,8473.34219392538
3,31/05,8274.76279762396,7934.37434137241,8615.151253875509,7754.183577136079,8795.34201811184
4,01/06,8506.780330291322,8105.73355198463,8907.827108598009,7893.432211705941,9120.1284488767
5,02/06,8738.79786295868,8275.05457176298,9202.54115415439,8029.5637023891,9448.03202352826
6,03/06,8970.81539562604,8442.24580285325,9499.38498839884,8162.43796235636,9779.19282889572
