,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,12/03,2.0,,,,
2,13/03,3.0,,,,
3,14/03,5.0,,,,
4,15/03,6.0,,,,
5,16/03,7.0,,,,
6,17/03,7.0,,,,
7,18/03,14.0,,,,
8,19/03,21.0,,,,
9,20/03,40.0,,,,
10,21/03,57.0,,,,
11,22/03,68.0,,,,
12,23/03,86.0,,,,
13,24/03,109.0,,,,
14,25/03,122.0,,,,
15,26/03,149.0,,,,
16,27/03,163.0,,,,
17,28/03,184.0,,,,
18,29/03,197.0,,,,
19,30/03,219.0,,,,
20,31/03,235.0,,,,
21,01/04,247.0,,,,
22,02/04,281.0,,,,
23,03/04,301.0,,,,
24,04/04,356.0,,,,
25,05/04,379.0,,,,
26,06/04,417.0,,,,
27,07/04,457.0,,,,
28,08/04,501.0,,,,
29,09/04,693.0,,,,
30,10/04,717.0,,,,
31,11/04,732.0,,,,
32,12/04,776.0,,,,
33,13/04,826.0,,,,
34,14/04,853.0,,,,
35,15/04,884.0,,,,
36,16/04,926.0,,,,
37,17/04,962.0,,,,
38,18/04,975.0,,,,
39,19/04,1025.0,,,,
40,20/04,1063.0,,,,
41,21/04,1091.0,,,,
42,22/04,1115.0,,,,
43,23/04,1170.0,,,,
44,24/04,1209.0,,,,
45,25/04,1235.0,,,,
46,26/04,1337.0,,,,
47,27/04,1476.0,,,,
48,28/04,1995.0,,,,
49,29/04,2085.0,,,,
50,30/04,2394.0,,,,
51,01/05,2104.0,,,,
52,02/05,2346.0,,,,
53,03/05,2519.0,,,,
54,04/05,2623.0,,,,
55,05/05,2795.0,,,,
56,06/05,2917.0,,,,
57,07/05,3082.0,,,,
58,08/05,3205.0,,,,
59,09/05,3372.0,,,,
60,10/05,3429.0,,,,
61,11/05,3529.0,,,,
62,12/05,3733.0,,,,
63,13/05,3828.0,,,,
64,14/05,4332.0,,,,
65,15/05,4562.0,,,,
66,16/05,4678.0,,,,
67,17/05,4776.0,,,,
68,18/05,5175.0,,,,
69,19/05,5413.0,,,,
70,20/05,5499.0,,,,
71,21/05,5610.0,,,,
72,22/05,6458.0,,,,
73,23/05,6607.0,,,,
74,24/05,6696.0,,,,
75,25/05,6875.0,,,,
76,26/05,7016.0,,,,
77,27/05,7372.0,,,,
78,28/05,8000.0,,,,
79,29/05,8530.0,,,,
80,30/05,8780.0,,,,
81,31/05,9037.0,,,,
82,01/06,9498.0,,,,
83,02/06,9660.0,,,,
84,03/06,10034.0,,,,
85,04/06,10532.0,,,,
86,05/06,10846.0,,,,
87,06/06,11285.0,,,,
88,07/06,11565.0,,,,
89,08/06,11742.0,,,,
90,09/06,12192.0,,,,
0,10/06,12528.1346572052,12350.714958055902,12705.5543563545,12256.7946426247,12799.474671785702
1,11/06,12864.2693144104,12595.000646868999,13133.537981951798,12452.458424598899,13276.0802042219
2,12/06,13200.4039716156,12847.7752726442,13553.0326705869,12661.1049153148,13739.7030279164
3,13/06,13536.538628820801,13102.6431298575,13970.4341277841,12872.9527272572,14200.124530384399
4,14/06,13872.673286026002,13357.383142820201,14387.963429231699,13084.605018291,14660.741553761001
5,15/06,14208.8079432312,13610.9900071924,14806.62587927,13294.5243081047,15123.0915783577
6,16/06,14544.9426004364,13862.9486376823,15226.9365631905,13501.9228417241,15587.962359148702
