,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,14/03,1.0,,,,
2,15/03,1.0,,,,
3,16/03,5.0,,,,
4,17/03,5.0,,,,
5,18/03,6.0,,,,
6,19/03,6.0,,,,
7,20/03,7.0,,,,
8,21/03,10.0,,,,
9,22/03,10.0,,,,
10,23/03,10.0,,,,
11,24/03,15.0,,,,
12,25/03,16.0,,,,
13,26/03,16.0,,,,
14,27/03,16.0,,,,
15,28/03,16.0,,,,
16,29/03,16.0,,,,
17,30/03,18.0,,,,
18,31/03,19.0,,,,
19,01/04,22.0,,,,
20,02/04,24.0,,,,
21,03/04,27.0,,,,
22,04/04,32.0,,,,
23,05/04,32.0,,,,
24,06/04,32.0,,,,
25,07/04,36.0,,,,
26,08/04,39.0,,,,
27,09/04,40.0,,,,
28,10/04,42.0,,,,
29,11/04,44.0,,,,
30,12/04,44.0,,,,
31,13/04,45.0,,,,
32,14/04,46.0,,,,
33,15/04,48.0,,,,
34,16/04,53.0,,,,
35,17/04,58.0,,,,
36,18/04,71.0,,,,
37,19/04,86.0,,,,
38,20/04,92.0,,,,
39,21/04,117.0,,,,
40,22/04,118.0,,,,
41,23/04,135.0,,,,
42,24/04,145.0,,,,
43,25/04,154.0,,,,
44,26/04,175.0,,,,
45,27/04,211.0,,,,
46,28/04,280.0,,,,
47,29/04,280.0,,,,
48,30/04,453.0,,,,
49,01/05,517.0,,,,
50,02/05,601.0,,,,
51,03/05,730.0,,,,
52,04/05,772.0,,,,
53,05/05,898.0,,,,
54,06/05,998.0,,,,
55,07/05,1214.0,,,,
56,08/05,1438.0,,,,
57,09/05,1588.0,,,,
58,10/05,1771.0,,,,
59,11/05,1800.0,,,,
60,12/05,2032.0,,,,
61,13/05,2268.0,,,,
62,14/05,2494.0,,,,
63,15/05,2868.0,,,,
64,16/05,3135.0,,,,
65,17/05,3343.0,,,,
66,18/05,3566.0,,,,
67,19/05,3967.0,,,,
68,20/05,4277.0,,,,
69,21/05,4734.0,,,,
70,22/05,4922.0,,,,
71,23/05,5131.0,,,,
72,24/05,5314.0,,,,
73,25/05,5448.0,,,,
74,26/05,5735.0,,,,
75,27/05,5912.0,,,,
76,28/05,6156.0,,,,
77,29/05,6462.0,,,,
78,30/05,6805.0,,,,
79,31/05,6999.0,,,,
80,01/06,7233.0,,,,
81,02/06,7555.0,,,,
82,03/06,7989.0,,,,
83,04/06,8200.0,,,,
84,05/06,8577.0,,,,
85,06/06,8972.0,,,,
0,07/06,9316.4540198917,9235.08567106142,9397.82236872198,9192.01186908283,9440.89617070057
1,08/06,9660.9080397834,9524.73491894265,9797.08116062414,9452.64922313807,9869.166856428721
2,09/06,10005.3620596751,9812.19128970631,10198.5328296439,9709.932861050691,10300.7912582995
3,10/06,10349.8160795668,10095.8784785508,10603.7536805828,9961.452032662191,10738.1801264714
4,11/06,10694.2700994585,10375.5237900153,11013.0164089017,10206.7896862546,11181.7505126624
5,12/06,11038.7241193502,10651.1577708136,11426.2904678868,10445.9925389954,11631.455699705
6,13/06,11383.1781392419,10922.898100745,11843.458177738701,10679.2405666065,12087.115711877299
