,dt_notificacao,acumulado_confirmados,Lo.80,Hi.80,Lo.95,Hi.95
1,25/02,1.0,,,,
2,26/02,1.0,,,,
3,27/02,1.0,,,,
4,28/02,2.0,,,,
5,29/02,2.0,,,,
6,01/03,2.0,,,,
7,02/03,2.0,,,,
8,03/03,2.0,,,,
9,04/03,3.0,,,,
10,05/03,6.0,,,,
11,06/03,10.0,,,,
12,07/03,13.0,,,,
13,08/03,16.0,,,,
14,09/03,16.0,,,,
15,10/03,19.0,,,,
16,11/03,30.0,,,,
17,12/03,46.0,,,,
18,13/03,46.0,,,,
19,14/03,65.0,,,,
20,15/03,65.0,,,,
21,16/03,152.0,,,,
22,17/03,164.0,,,,
23,18/03,240.0,,,,
24,19/03,286.0,,,,
25,20/03,396.0,,,,
26,21/03,396.0,,,,
27,22/03,631.0,,,,
28,23/03,745.0,,,,
29,24/03,810.0,,,,
30,25/03,862.0,,,,
31,26/03,1052.0,,,,
32,27/03,1223.0,,,,
33,28/03,1406.0,,,,
34,29/03,1451.0,,,,
35,30/03,1517.0,,,,
36,31/03,2339.0,,,,
37,01/04,2981.0,,,,
38,02/04,3506.0,,,,
39,03/04,4048.0,,,,
40,04/04,4466.0,,,,
41,05/04,4620.0,,,,
42,06/04,4866.0,,,,
43,07/04,5682.0,,,,
44,08/04,6708.0,,,,
45,09/04,7480.0,,,,
46,10/04,8216.0,,,,
47,11/04,8419.0,,,,
48,12/04,8755.0,,,,
49,13/04,8895.0,,,,
50,14/04,9371.0,,,,
51,15/04,11043.0,,,,
52,16/04,11568.0,,,,
53,17/04,12841.0,,,,
54,18/04,13894.0,,,,
55,19/04,14267.0,,,,
56,20/04,14580.0,,,,
57,21/04,15385.0,,,,
58,22/04,15914.0,,,,
59,23/04,16740.0,,,,
60,24/04,17826.0,,,,
61,25/04,20004.0,,,,
62,26/04,20715.0,,,,
63,27/04,21696.0,,,,
64,28/04,24041.0,,,,
65,29/04,26158.0,,,,
66,30/04,28698.0,,,,
67,01/05,30374.0,,,,
68,02/05,31174.0,,,,
69,03/05,31772.0,,,,
70,04/05,32187.0,,,,
71,05/05,34053.0,,,,
72,06/05,37853.0,,,,
73,07/05,39928.0,,,,
74,08/05,41830.0,,,,
75,09/05,44411.0,,,,
76,10/05,45444.0,,,,
77,11/05,46131.0,,,,
78,12/05,47719.0,,,,
79,13/05,51097.0,,,,
80,14/05,54286.0,,,,
81,15/05,58378.0,,,,
82,16/05,61183.0,,,,
83,17/05,62345.0,,,,
84,18/05,63066.0,,,,
85,19/05,65995.0,,,,
86,20/05,69859.0,,,,
87,21/05,73739.0,,,,
88,22/05,76871.0,,,,
89,23/05,80558.0,,,,
90,24/05,82161.0,,,,
91,25/05,83625.0,,,,
92,26/05,86017.0,,,,
93,27/05,89483.0,,,,
94,28/05,95865.0,,,,
95,29/05,101556.0,,,,
96,30/05,107142.0,,,,
97,31/05,109698.0,,,,
98,01/06,111296.0,,,,
99,02/06,118295.0,,,,
100,03/06,123483.0,,,,
101,04/06,129200.0,,,,
102,05/06,134565.0,,,,
0,06/06,139234.384665611,138094.121251054,140374.648080168,137490.502261261,140978.267069961
1,07/06,143905.816451629,141710.774427909,146100.858475349,140548.789370775,147262.843532483
2,08/06,148577.248237647,145486.488809446,151668.007665848,143850.339600477,153304.15687481698
3,09/06,153248.680023665,149288.341251818,157209.018795511,147191.86454461,159305.49550271902
4,10/06,157920.111809683,153083.480028981,162756.743590385,150523.121823853,165317.101795512
5,11/06,162591.5435957,156859.240857028,168323.846334373,153824.743087362,171358.34410403902
6,12/06,167262.97538171802,160609.895210343,173916.05555309402,157087.96731123698,177437.983452199
